-----
{
 "description": "It provides department wise details of Schemes for Development of Scheduled Tribes.", 
 "file_name": "stat21a.xls", 
 "title": "Download XLS for Schemes for Development of Scheduled Tribes(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat21a.xls"
}
-----
"","","SCHEDULED CASTES SUB PLAN/TRIBAL SUB PLAN","","",""
"","Demand No. 10","","","",""
"","Ministry of Coal","","","",""
1.0,"Regional Exploration",6.23,6.0,6.0,4.1
2.0,"Detailed Drilling",9.95,12.3,12.3,14.4
3.0,"Conservation and Safety in Coal Mines",0.0,12.7,12.71,13.1
"","Sub Total",16.18,31.0,31.01,31.6
"","Demand No. 14","","","",""
"","Department  of Telecommunications","","","",""
1.0,"WMO",0.0,0.2,0.0,0.2
2.0,"C-DOT",0.0,0.9,1.16,1.1
3.0,"USOF",0.0,10.9,4.83,13.2
"","Sub Total",0.0,12.0,5.99,14.5
"","Demand No. 15","","","",""
"","Department of Electronics and Information Technology","","","",""
1.0,"E-Governance",54.45,92.42,48.92,84.64
2.0,"IT for Masses  (Gender, SC/ST)",0.96,6.37,2.93,0.0
3.0,"Manpower Development",0.0,10.85,10.85,25.0
4.0,"National Informatic Centre (NIC)",60.4,67.86,67.86,67.86
5.0,"National Knowledge Network",22.5,22.5,7.5,22.5
6.0,"NIELIT (earstwhile DOEACC)",0.0,1.0,0.4,1.0
"","Sub Total",138.31,201.0,138.46,201.0
"","Demand No. 17","","","",""
"","Department of Food & Public Distribution","","","",""
1.0,"Village Grain Bank Scheme",1.96,1.12,0.5,0.28
2.0,"Computerization of PDS Operations",0.0,2.94,2.94,6.0
"","Sub Total",1.96,4.06,3.44,6.28
"","Demand No. 19","","","",""
"","Ministry of Culture","","","",""
1.0,"Zonal Cultural Centres",1.9,1.0,1.0,2.5
2.0,"Financial Assistance for Professional & Individual for Specified  ","","","",""
"","Performing Art Projects",0.0,1.0,1.0,0.0
3.0,"Centre for Cultural Resources & Training",0.0,0.0,0.0,2.0
4.0,"Financial Assistance for Research Support to Voluntary Organisations ","","","",""
"","engaged in Cultural Activities",0.4,0.5,0.5,2.3
5.0,"Financial Assistance for Preservation & Development of Cultural ","","","",""
"","Heritage of Himalayas",0.0,0.1,0.1,0.0
6.0,"Award of Scholarship to Artists in the field of Performing, ","","","",""
"","Literary & Visual Arts",0.0,0.5,0.5,0.75
7.0,"Financial Assistance  Distinguished persons in Letters, Arts and ","","","",""
"","such Other Walks of Life",0.97,0.5,0.5,1.5
8.0,"Asiatic Society, Kolkata",0.0,0.2,0.2,0.2
9.0,"Promotion and Strengthening of Regional & Local Museums",0.0,0.5,0.5,0.5
10.0,"Anthropological Survey of India",3.98,3.5,3.5,5.0
11.0,"Indira Gandhi Rastriya Manav Sangrhalaya, Bhopal",6.0,4.0,4.0,6.0
12.0,"Raja Ram Mohan Rai Library Foundation",0.5,1.0,1.0,2.0
13.0,"Namgyal Institute of Tibetology, Sikkim",0.1,0.1,0.1,0.2
14.0,"National School of Drama",0.0,0.4,0.4,1.25
15.0,"Indira Gandhi National Centre for Art",0.0,1.0,1.0,2.5
16.0,"Central institute of Buddhist Studies ",0.0,0.48,0.48,0.5
17.0,"Nava Nalanda Mahavihara",0.0,0.5,0.5,0.5
18.0,"Assistance for Development of Buddhist/Tibetan Institutions",0.0,0.5,0.5,0.5
19.0,"Institute of Himalayan Culture Studies ",0.0,1.5,1.5,0.5
"","Sub Total",13.85,17.28,17.28,28.7
"","Demand No. 29","","","",""
"","Ministry of Drinking Water & Sanitation ","","","",""
1.0,"National Rural Drinking Water Programme",849.98,1050.0,1050.0,1100.0
2.0,"Central Rural Sanitation Programme",120.21,350.0,250.0,426.0
"","Sub Total",970.19,1400.0,1300.0,1526.0
"","Demand No. 31","","","",""
"","Ministry of Environment & Forests","","","",""
1.0,"Integrated Development of Wild Life Habitats",1.99,2.0,2.0,2.0
2.0,"Project Tiger",10.0,10.0,10.0,10.0
3.0,"Project Elephant",1.0,1.0,1.0,1.0
4.0,"National Afforestation Programme",2.0,2.0,1.31,2.0
5.0,"Green India Mission",0.0,1.0,0.2,1.0
"","Sub Total",14.99,16.0,14.51,16.0
"","Demand No. 47","","","",""
"","Department of Health and Family Welfare","","","",""
1.0,"National Cancer Control Programme",9.89,0.0,0.0,0.0
2.0,"National Programme for Prevention & Control of Diabetese, ","","","",""
"","CVD & Strokes",9.91,24.6,14.35,39.78
3.0,"National Vector Borne Disease Control Programme",77.47,61.24,55.63,0.0
4.0,"National Programme for Control of Blindness",28.18,31.05,25.5,0.0
5.0,"Revised National TB Control Programme",32.17,76.03,71.03,0.0
6.0,"National Leprosy Eradication Programme",3.51,5.46,5.46,0.0
7.0,"Infrastructure Maintenance",395.36,527.64,536.3,537.13
8.0,"Supply Drugs & Contraceptives",0.0,30.78,10.71,0.0
9.0,"Immunization",97.09,171.51,133.23,0.0
10.0,"Flexible Pool for State PIPs",1334.0,1155.21,883.41,0.0
11.0,"Integrated disease Surveillance Project",0.0,6.64,2.5,0.0
12.0,"Strengthening of District Hospitals for providing Advanced ","","","",""
"","Secondary Care",0.0,10.59,0.0,0.0
13.0,"Providing Free Generic Medicines in all Public Health Institutions ","","","",""
"","in the Country",0.0,10.59,0.0,0.0
14.0,"National Mental Health Programme",0.0,10.7,8.23,16.35
15.0,"Assistance to State for Capacity Building",0.0,8.2,3.66,7.25
16.0,"Helath Care for the Elderly",0.0,12.3,8.2,10.9
17.0,"Upgradation of State Government Medical Colleges",0.0,28.7,20.5,0.0
18.0,"Upgradation/Strengthening of Nursing Services",0.0,24.6,9.02,0.0
19.0,"Strengthening/Creation of Paramedical Institutions",0.0,16.4,4.1,0.0
20.0,"Free Distribution of Contraceptives",0.0,12.17,12.17,0.0
21.0,"NRHM-RCH Flexible Pool",0.0,0.0,0.0,1391.68
22.0,"National Urban Health Mission",0.0,0.0,0.0,0.11
23.0,"Flexible Pool for Communicable Diseases",0.0,0.0,0.0,152.18
24.0,"Flexible Pool for Non-Communcable Diseases,Injury &Trauma",0.0,0.0,0.0,93.73
25.0,"Human Resources for Health",0.0,0.0,0.0,125.53
26.0,"Strengthening of State Drug Regulatory System",0.0,0.0,0.0,10.9
27.0,"Strengthening of State Food Regulatory System",0.0,0.0,0.0,5.99
28.0,"Information, Education & Communication",9.0,0.0,0.0,0.0
"","Sub Total",1996.58,2224.41,1804.0,2391.53
"","Demand No. 48","","","",""
" ","Department of Ayurveda, Yoga & Naturopathy, Unani, Sidha ","","","",""
"","and Homeopathy (AYUSH)","","","",""
1.0,"National Institute of Ayurveda, Jaipur",0.2,0.3,0.3,0.8
2.0,"Central Council for Research in Ayurveda and Siddha, New Delhi",4.5,5.0,5.0,5.0
3.0,"Central Council for Research in Unani Medicine, New Delhi",3.0,3.0,3.0,2.0
4.0,"Central Counsil for Research in Homoeopathy, New Delhi",2.0,2.0,2.0,2.0
5.0,"National Board for Medicinal Plant",1.0,1.0,0.6,1.0
6.0,"Development of Institutions",0.0,2.5,0.5,3.0
7.0,"Development of AYUSH Hospitals & Dispensaries and ","","","",""
"","Mainstreaming of AYUSH",0.0,5.0,1.0,5.58
8.0,"National Mission on Medical Plants",0.76,1.0,1.0,2.0
"","Sub Total",11.46,19.8,13.4,21.38
"","Demand No. 50","","","",""
" ","Department of AIDS Control","","","",""
1.0,"National AIDS Control Programme",0.0,139.4,144.28,146.37
"","Sub Total",0.0,139.4,144.28,146.37
"","Demand No. 58","","","",""
"","Ministry of Housing & Urban Poverty Alleviation","","","",""
1.0,"Component for TSP under Interest Subsidy for Housing the  Urban Poor",1.2,0.24,0.12,0.6
2.0,"Swarn Jayanti Shahari Rojgar Yojana (SJSRY)",23.5,24.0,15.28,29.44
3.0,"Component for TSP under the Scheme Integrated Low Cost ","","","",""
"","Sanitation Programme (ILCS) ",1.7,0.48,1.92,5.0
4.0,"National Scheme for Support to Street Vendors",0.0,1.5,0.0,0.0
5.0,"National Programme for Urban Homeless",0.0,1.5,0.0,0.0
"","Sub Total",26.4,27.72,17.32,35.04
"","Demand No. 59","","","",""
"","Department of School Education & Literacy","","","",""
1.0,"Sarva Shiksha Abhiyan",2246.72,2744.93,2539.64,2916.61
2.0,"National Programme of Nutrition Support to Primary Education ","","","",""
"","(Mid Day Meal Scheme)",1069.83,1277.26,1230.5,1417.23
3.0,"Strengthening of Teacher Training  Institutions",35.79,53.5,31.25,75.0
4.0,"Mahila Samakhya ",5.35,6.42,6.42,6.42
5.0,"Support to NGOs/Institutions/SRC's for Adult Education & ","","","",""
"","Skill Development (Merged schemes of NGOs/JSS/SRCs)",10.35,11.24,8.61,10.7
6.0,"Adult Education & Skill Development Scheme",50.35,63.34,44.79,61.2
7.0,"National Bal Bhawan",0.5,1.5,0.58,0.86
8.0,"Directorate of Adult Education",1.03,0.96,0.68,0.96
9.0,"National Literacy Mission Authority",0.0,0.0,0.0,0.21
10.0,"National Scheme for Incentive to Girl Child for Secondary Education",43.17,25.0,25.0,10.7
11.0,"Navodaya Vidyalayas Samiti",128.4,133.75,133.75,133.75
12.0,"Kendriya Vidyalaya Sangathan",37.45,37.45,37.45,37.45
13.0,"National Council of Educational Research & Training (NCERT)",2.68,1.61,1.25,1.61
14.0,"National Institute of Open Schooling (National Open School)",0.38,0.0,0.0,0.01
15.0,"Central Tibetian School Society Administration",0.76,0.0,0.0,0.0
16.0,"Joint Indo-Mangolian School (Mangolia)",0.0,0.0,0.0,0.0
17.0,"Rashtriya Madhyamik Shiksha Abhiyan (RMSA)",273.73,334.27,342.81,426.18
18.0,"Scheme for setting up of 6000 Model Schools at Block level as ","","","",""
"","Benchmark of Excellence",109.11,115.56,80.25,107.0
19.0,"Inclusive Education for the Disabled at Secondary Schools (IEDSS)",5.19,7.49,3.0,5.35
20.0,"National Means-cum-Merit Scholarship Scheme",4.98,7.49,7.49,7.49
21.0,"Vocationalisation of Education",0.02,10.7,8.56,8.57
22.0,"Access and Equity",0.01,0.0,0.0,0.0
23.0,"Scheme for Construction and Running of Girls Hostels for ","","","",""
"","Students of Secondary and Higher Secondary School",21.51,48.15,32.31,48.15
24.0,"Information and Communication Technology in Schools",53.32,37.45,37.45,37.45
25.0,"Centrally Sponsored Scheme of appointment of Language Teachers",0.53,0.61,0.21,0.62
"","Sub Total",4101.16,4918.68,4572.0,5313.52
"","Demand No. 60","","","",""
"","Department of Higher Education","","","",""
1.0,"UGC",434.0,504.58,462.1,439.03
2.0,"IGNOU",7.5,7.88,7.87,9.38
3.0,"IITs (incl.OSC)",90.3,90.0,99.9,180.0
4.0,"IIT, Gwalior",2.25,2.63,2.63,0.0
5.0,"IIT, Allahabad",4.13,3.75,3.75,0.0
6.0,"IIT, Jabalpur",4.13,3.38,3.39,0.0
7.0,"NITs",72.0,75.0,64.72,97.5
8.0,"NITIE, Mumbai",1.28,2.78,0.45,0.45
9.0,"NIFFT, Ranchi",1.05,1.2,1.8,0.0
10.0,"NITTTRs",1.64,2.44,2.23,2.63
11.0,"SPA, New Delhi",0.75,0.75,0.47,6.38
12.0,"ISM, Dhanbad",7.5,8.25,10.13,8.25
13.0,"Community Polytechnics",0.02,11.25,4.51,0.0
14.0,"Sant Longowal Institue of Engineering & Technology",0.54,1.2,0.79,0.0
15.0,"IIMs including IIM, Shilong (inc OSC)",16.13,13.5,9.62,26.25
16.0,"IISC, Bengaluru",10.05,11.25,13.51,0.0
17.0,"National Mission in Education (ICT)",28.21,63.75,16.65,30.0
18.0,"IISERs",43.5,48.75,51.01,0.0
19.0,"New IITs",47.36,60.0,53.62,0.0
20.0,"Scholarship for College & University Students",12.15,18.75,11.86,26.25
21.0,"BOATS including Apprenticeship Training ",2.67,3.56,2.86,3.94
22.0,"IIITDM, Kanchipuram",5.63,6.0,6.0,0.0
23.0,"CIT, Kokrajhar ",16.0,17.6,40.0,0.0
24.0,"New IIITs",0.0,1.88,0.6,2.25
25.0,"New School of Planning & Architecure (SPAs)",1.88,2.63,5.65,0.0
26.0,"New National Institute of Technology (NITs) including ","","","",""
"","Chaudhary Ghani Khan Institute of Engineering ",6.0,21.05,22.55,0.0
27.0,"New IIMs",6.0,11.25,11.26,0.0
28.0,"Upgradation of Existing/ Setting up of New Polytechnic",56.94,63.0,31.51,0.0
29.0,"ICHR",0.44,0.6,0.0,0.0
30.0,"IIAS, Shimla",0.58,0.41,0.86,0.0
31.0,"ICPR",0.37,0.45,0.39,0.0
32.0,"PHISPC",0.08,0.0,0.0,0.0
33.0,"NCRI, Hyderabad",0.0,0.45,0.13,0.0
34.0,"Education Loan Interest Subsidy",5.7,8.0,8.0,0.0
35.0,"Rashtriya Sanskrit Sansthan",4.43,4.5,6.71,0.0
36.0,"AICTE",12.25,30.0,30.0,31.5
37.0,"North-Eastern Regional Institute of Science & Technology (NERIST), Itanagar",5.59,8.0,3.62,0.0
38.0,"Technical Education Quality Improvement Programme",13.4,26.25,14.83,30.0
39.0,"Expansion and Upgradation of 200 State Engineering Institutes",0.0,0.3,0.0,0.0
40.0,"Seetting up Indian Institute of Engineering Science & Technology (IIEST)",0.0,0.08,0.0,2.25
41.0,"Establishment of 50 Centres for Training and Research in Frontier Areas ",0.0,0.08,0.02,7.5
42.0,"Setting up of Workers Technical Universities","",0.0,"",""
43.0,"Women's Hostel in Polytechnics",4.2,7.5,5.26,0.0
44.0,"ICSSR",2.55,7.42,6.94,0.0
45.0,"Central Hindi Directorate",0.0,0.3,0.0,0.0
46.0,"Kendriya Hindi Sansthan, Agra",0.15,0.2,0.2,0.0
47.0,"Maharishi Sandipani Rashtriya Ved Vidya Pratishthan, Ujjain",0.36,0.36,0.96,0.0
48.0,"NUEPA (including fund for conducting All India Survey on High Education",0.01,0.8,0.71,1.28
49.0,"Central institute of Indian Language, Mysore",0.0,2.5,0.0,0.0
50.0,"Central Institute of Classical Tamil (CICT), Chennai",0.0,0.96,0.0,0.0
51.0,"National Book Trust",0.0,1.35,1.16,1.5
52.0,"National Mission on Teachers & Training",0.0,0.08,0.0,7.5
53.0,"Incentivising State for Expansion inclusion and Excellence",0.0,0.08,0.0,0.0
54.0,"New NBT",0.0,0.08,0.0,0.0
55.0,"Research & Innovation",0.0,0.08,0.08,0.0
56.0,"Employability & Skill",0.0,0.08,0.08,0.0
57.0,"Poytechnics for Disabled Persons",0.0,0.38,0.14,0.0
58.0,"National Initiative for Excellence in Humanities and Social Science",0.0,0.0,0.0,9.75
59.0,"National Initiative for Quality Higher Education in Indian Languages",0.0,0.0,0.0,0.08
60.0,"National Initiative on Inclusion with Disabilities in Higher Education",0.0,0.0,0.0,0.08
61.0,"National Initiative to Foster Social Responsibility",0.0,0.0,0.0,0.08
62.0,"National Initiative on Sports and Wellness",0.0,0.0,0.0,0.08
63.0,"Rashtriya Uchcha Shiksha Abhiyan (RUSA)",0.0,0.0,0.0,41.5
64.0,"Interest Subsidy and Contribution for Guarantee Fund ",0.0,0.0,0.0,82.5
65.0,"Promotion of Copyright and IPR",0.0,0.0,0.0,0.45
66.0,"Grants for Promotion of Indian Language",0.0,0.0,0.0,21.31
67.0,"Strengthening of Governance and Accreditation System",0.0,0.0,0.0,0.08
68.0,"Setting up of Institutes /Academies for Academic Leadership",0.0,0.0,0.0,0.08
69.0,"Strengthening Statistical and Public Information System",0.0,0.0,0.0,0.08
70.0,"Web-based Higher Education Data Management System",0.0,0.0,0.0,0.08
71.0,"Centres for Higher Education Research Conduct of Longitudinal Studies ","","","",""
"","and Surveys",0.0,0.0,0.0,0.08
72.0,"Support to IISc and IISER",0.0,0.0,0.0,64.46
73.0,"Support to IITs of (Allahabad, Gwalior, Jabalpur and Kanchipuram)",0.0,0.0,0.0,16.5
74.0,"Assistance to other Institutes Including SLIET,NERIT,NIFFT Ranchi,","","","",""
"","CIT Kokrajhar",0.0,0.0,0.0,5.1
75.0,"Establishment of Multi-disciplinary Research Universities and ","","","",""
"","Creation of centres of Excellence and Creating a System",0.0,0.0,0.0,0.08
76.0,"Setting Up of Inter-Institutional Centre",0.0,0.0,0.0,0.08
77.0,"National Initiative for Design Innovation",0.0,0.0,0.0,1.88
78.0,"National Initiative for Technology Transfer",0.0,0.0,0.0,1.88
79.0,"Quality Improvement Programme for Management,  ","","","",""
"","Pharmacy Education and Hotel Management",0.0,0.0,0.0,0.08
80.0,"Support for The Polytechnics in The States",0.0,0.0,0.0,52.5
81.0,"Support for Skill-Based Higher Education Including Community Colleges",0.0,0.0,0.0,2.23
82.0,"IIT, Hyderabad (EAP)",0.0,0.0,0.0,3.75
83.0,"Establishment of Tribunals Accredition Authority & NCHER",0.0,0.0,0.0,0.08
84.0,"Auroville Management",0.0,0.0,0.0,0.9
"","Sub Total",929.72,1159.35,1021.53,1219.59
"","Demand No. 62","","","",""
"","Ministry of Labour and Employment","","","",""
1.0,"VRC",0.08,0.3,0.3,0.39
2.0,"CGC",0.13,2.0,2.0,2.5
3.0,"Mission Mode Project",0.0,1.5,0.39,0.0
4.0,"Upgradation of Training Institutes",0.72,3.12,3.06,5.9
5.0,"NIMI",0.0,0.33,0.33,0.35
6.0,"FTI",0.04,0.71,0.65,0.0
7.0,"MITI",0.04,0.7,0.7,0.0
8.0,"Project Implementation",0.0,0.41,0.46,0.0
9.0,"Building Equipment",0.17,0.91,0.93,0.0
10.0,"Development of Regional Labour Institute Faridabad as ","","","",""
"","National Centre of Excellence",0.04,0.0,0.0,0.0
11.0,"CLC( C) & RLCs (C )",0.84,0.0,0.0,0.0
12.0,"CLC ( C ) Training Wing ",0.04,0.0,0.0,0.0
13.0,"CBWE",1.08,2.09,2.09,2.0
14.0,"Mahatma Gandhi National Rural Employment Guarantee Act",0.82,0.0,0.0,0.0
15.0,"National Labour Institute",0.37,1.36,0.98,0.49
16.0,"Child Labour ",11.69,15.0,12.0,16.4
17.0,"Labour & Employment Statistical System",0.98,0.0,0.0,0.0
18.0,"DGMS (Mamid)",0.11,0.0,0.0,0.0
19.0,"DGMS (SOCFOD)",0.5,0.0,0.0,0.0
20.0,"Upgradation of 100 ITI",0.0,0.01,0.0,0.0
21.0,"Rehabilitation of BL",0.0,1.0,1.0,0.0
22.0,"Skill Development Initiative",4.0,31.43,20.05,48.41
23.0,"Training of 800 Youths of Jammu & Kashmir",0.0,0.08,0.0,0.0
24.0,"Kaushal Vikas Yojana",0.0,22.1,9.84,0.3
25.0,"Upgradation of 1396 Govt ITI",0.0,0.41,0.0,0.0
26.0,"EAP Component ",0.0,7.89,7.89,12.27
27.0,"Health Insurance RW",64.43,88.0,83.1,116.08
28.0,"Expansion of Training of Trainers within DGET ",0.0,0.37,0.42,0.98
29.0,"Skill Development for 34 Districts affected by Left Wing Extremism ",0.0,20.1,20.1,0.0
30.0,"E-Learning & Distance Learning Programme",0.0,0.08,0.08,0.02
31.0,"Re-engineering of NCVT & Development of National ","","","",""
"","Vocational Qualification",0.0,0.04,0.04,0.37
32.0,"Establishment of National Board for Trade Testing and Certification",0.0,0.06,0.06,0.33
33.0,"International Co-operation in Skill Development including Foreign Training",0.0,0.08,0.08,0.16
34.0,"Setting of ATI & RVTI",0.0,0.66,0.66,0.0
35.0,"Enhancing Skill Development Infrastructure in NE States & Sikkim",0.0,1.8,1.8,0.0
"","Sub Total",86.08,202.54,169.01,206.95
"","Demand No. 66","","","",""
"","Ministry of Micro, Small and Medium Enterprises","","","",""
1.0,"Prime Minister's Employment Generation Programme (PMEGP)",76.43,107.02,107.02,125.8
2.0,"Workshed Scheme for Khadi Artisans",1.39,1.64,1.35,1.64
3.0,"Scheme for enhancing Productivity and Competitiveness for ","","","",""
"","Khadi Industries Artisans",0.0,1.23,0.01,1.23
4.0,"Rejuvenation, Modernisation and Technology Upgradation ","","","",""
"","of Coir Industries",0.0,1.3,0.0,1.3
5.0,"Scheme of fund for Regeneration of Traditional Industries",0.0,4.53,0.4,4.54
6.0,"Khadi Reform Development Programme (ADB Assistance)",0.0,4.1,0.0,4.1
7.0,"Strengthening of Infrastructure of existing Weak Khadi Institutions and ","","","",""
"","Assistance for Marketing Infrastructure",0.2,0.62,0.5,0.62
8.0,"Market Promotion (Including Export Promotion and Policy)",0.0,0.01,0.0,0.01
9.0,"Development of Infrastructure and Skill in KVI Sector (DISK)",0.0,0.01,0.0,0.01
10.0,"Promotion of Village Industry and Development of existing Weak Village ","","","",""
"","Industry Institution (PROVIDE)",0.0,0.01,0.0,0.01
11.0,"SUFURTI Coir",0.0,0.01,0.0,0.01
12.0,"SUFURTI (inclusive of 5 existing Schemes subsumed therein) (KVI)",0.0,0.01,0.0,0.01
13.0,"Khadi Grant including MDA for Khadi",0.0,9.73,13.85,9.73
14.0,"Village Industry Grant",0.0,5.52,5.52,5.52
15.0,"Interest Subsidy Elegibility Certificate for Khadi and Polyvastra",0.0,0.01,0.0,0.01
16.0,"Janshri Beema Yojana for Khadi Artisans (inclusive of New ","","","",""
"","Component of Health Insurance)",0.0,0.01,0.01,0.01
17.0,"Khadi/ Village Industry, S&T and Scheme for Promotion of Khadi as ","","","",""
"","an exclusive Heritate and Green Product (SPOKE) (New Component)",0.0,0.01,0.0,0.01
18.0,"Scheme for Write Off of Old Loans by One Time Waivers/ Settlement",0.0,0.01,0.0,0.0
19.0,"Plan (General) Training Extension, Quality Improvement, ","","","",""
"","Mahila Coir Yojana and Welfare Measures etc. ",0.0,3.7,1.95,3.7
20.0,"Quality of Technology Support Institutions and Programmes",0.0,0.0,1.0,1.0
21.0,"Promotional Services Institutions and Programmes",0.0,0.0,5.6,5.5
22.0,"MSME Cluster Development Programmes and MSME Growth Poles",0.0,0.0,28.17,33.0
23.0,"Credit Support Programme",0.0,0.0,1.0,11.5
24.0,"National Innovation Fund",0.0,0.0,23.0,21.0
25.0,"Investment Equity Share Capital (NSIC)",0.0,0.0,13.23,0.0
26.0,"Performance and Credit rating Scheme",0.0,0.0,1.0,2.0
27.0,"Marketing Assistance Scheme",0.0,0.0,0.0,1.25
28.0,"International Cooperation Scheme",0.0,0.0,0.0,0.2
29.0,"Training Institutions",0.0,0.0,7.5,10.5
"","Sub Total",78.02,139.48,211.11,244.21
"","Demand No. 67","","","",""
"","Ministry of Mines","","","",""
1.0,"Geological Survey of India",0.0,7.76,7.76,7.76
2.0,"Indian Bureau of Mines",0.0,0.96,0.96,1.96
"","Sub Total",0.0,8.72,8.72,9.72
"","Demand No. 71","","","",""
"","Ministry of Panchayati Raj","","","",""
1.0,"Rashtriya Gram Swaraj Yojana",7.24,0.0,7.38,0.0
2.0,"Action Research & Research Studies",0.09,0.0,0.14,0.24
3.0,"Rural Business Hubs",0.02,0.24,0.0,0.0
4.0,"Rajiv Gandhi Panchayat Sashaktikaran Abhiyan (RGPSA)",0.0,16.79,4.1,37.31
5.0,"Resource Support to State",0.0,0.41,0.65,0.0
"","Sub Total",7.35,17.44,12.27,37.55
"","Demand No. 82","","","",""
"","Ministry of Road Transport and Highways","","","",""
1.0,"Special Programme for Development of Road Connectivity in ","","","",""
"","Naxalite Affected Areas",374.0,500.0,500.0,800.0
"","Sub Total",374.0,500.0,500.0,800.0
"","Demand No. 83","","","",""
"","Department of Rural Development","","","",""
1.0,"Swaranjayanti Gram Swarozgar Yojana (SGSY)",536.26,723.74,549.55,700.06
2.0,"Rural Housing - Indira Awas Yojana (IAY)",2469.94,2736.63,2229.32,3751.97
" ","Sub Total",3006.2,3460.37,2778.87,4452.03
"","Demand No. 84","","","",""
"","Department of Land Resources","","","",""
1.0,"Integrated Watershed Management Programme (IWMP)",230.82,305.0,290.35,538.7
2.0,"National Land Records Modernisation Programme (NLRMP)",24.0,15.05,12.05,37.75
" ","Sub Total",254.82,320.05,302.4,576.45
"","Demand No. 85","","","",""
"","Department of Science & Technology","","","",""
1.0,"Research & Development Support (SERC)",0.0,8.0,0.0,0.0
2.0,"S&T Programme for Socio-Economic Development",2.87,5.0,4.32,25.0
3.0,"Technology Development Programme",0.0,6.0,2.3,0.0
