-----
{
 "description": "Monthly, seasonal and annual rainfall (in mm) area weighted average for the whole country starting from 1901 onwards. This data set is based on more than 2000 rainguage data spread over the country.", 
 "file_name": "All_India_Area_Weighted_Monthly_Seasonal_And_Annual_Rainfall.xls", 
 "title": "Download XLS for All India Area Weighted Monthly, Seasonal And Annual Rainfall (in mm)", 
 "url": "http://data.gov.in/sites/default/files/All_India_Area_Weighted_Monthly_Seasonal_And_Annual_Rainfall.xls"
}
-----
"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL","Jan-Feb","March-May","June-September","Oct-Dec"
1932.0,9.2,22.9,20.1,31.0,85.7,141.7,328.3,237.9,181.9,69.4,60.3,14.4,1202.9,32.2,136.8,889.8,144.1
1933.0,16.5,29.6,25.1,48.1,102.4,215.1,279.7,313.4,211.6,93.6,20.5,16.5,1372.0,46.0,175.6,1019.8,130.6
1934.0,23.3,11.5,16.1,46.8,47.3,217.7,284.8,294.4,166.8,65.8,32.4,10.5,1217.5,34.7,110.2,963.7,108.7
1935.0,26.9,20.7,19.0,41.5,36.8,159.4,313.5,246.9,185.3,49.9,16.7,11.2,1127.9,47.7,97.3,905.2,77.8
1936.0,12.3,41.8,37.8,33.5,82.7,245.8,292.5,236.7,193.9,66.4,57.2,21.2,1321.8,54.1,154.1,968.8,144.7
1937.0,6.3,50.6,19.0,56.3,58.0,162.2,336.2,208.2,174.0,94.6,20.3,18.9,1204.4,56.9,133.2,880.6,133.8
1938.0,29.9,30.7,33.4,34.2,70.9,273.4,300.2,249.7,171.6,75.4,16.2,5.0,1290.5,60.6,138.5,994.8,96.6
1939.0,13.3,32.1,30.6,40.7,40.6,172.9,272.4,231.5,154.9,91.2,29.6,1.7,1111.6,45.5,111.9,831.8,122.5
1940.0,13.0,25.8,47.7,26.9,80.8,173.8,308.4,278.1,125.5,63.0,40.9,17.4,1201.3,38.8,155.4,885.8,121.3
1941.0,22.9,16.4,20.4,31.5,81.0,171.8,238.7,228.4,154.0,62.1,26.5,20.3,1073.9,39.3,132.8,792.8,108.9
1942.0,21.4,46.0,20.6,44.7,63.7,191.5,339.6,287.0,182.5,34.5,17.7,23.5,1272.9,67.5,129.0,1000.7,75.8
1943.0,56.8,9.8,32.5,47.9,94.3,167.8,308.9,228.4,211.4,89.0,17.1,5.2,1269.2,66.6,174.7,916.5,111.3
1944.0,27.6,37.8,54.9,31.9,61.0,155.6,349.1,287.0,156.2,92.3,29.4,15.6,1298.5,65.4,147.8,948.0,137.4
1945.0,34.2,10.2,20.1,47.1,53.6,159.1,333.3,246.7,214.5,80.6,17.9,4.9,1222.0,44.3,120.8,953.5,103.4
1946.0,4.4,19.1,24.5,48.0,71.3,214.0,318.3,296.3,145.0,84.4,76.0,35.8,1337.2,23.5,143.9,973.6,196.2
1947.0,22.4,18.3,26.0,39.1,55.9,130.1,314.4,290.4,240.0,69.8,7.2,22.6,1236.3,40.8,121.0,974.9,99.6
1948.0,25.2,29.0,39.5,42.5,91.3,164.1,347.7,282.7,178.0,61.2,71.1,10.0,1342.2,54.2,173.3,972.4,142.3
1949.0,12.6,28.8,24.1,53.0,89.3,164.3,316.8,243.2,227.0,95.1,10.6,4.7,1269.6,41.4,166.4,951.3,110.5
1950.0,35.4,25.4,36.7,28.7,49.4,135.7,331.6,235.6,202.6,57.7,27.5,7.9,1174.2,60.8,114.8,905.5,93.1
1951.0,15.7,12.1,44.4,54.4,59.4,163.3,252.7,222.8,124.6,73.9,31.3,5.8,1060.6,27.8,158.3,763.4,111.1
1952.0,10.5,19.8,37.4,32.4,69.7,165.6,286.6,256.6,120.0,79.6,9.2,22.5,1110.1,30.3,139.5,828.9,111.3
1953.0,30.2,10.6,25.3,38.3,47.1,162.2,323.1,299.2,179.9,85.8,12.3,8.0,1222.1,40.8,110.7,964.4,106.1
1954.0,37.6,37.2,17.1,22.8,53.9,145.5,297.2,232.0,246.7,73.8,3.6,13.9,1181.4,74.9,93.9,921.3,91.3
1955.0,20.8,4.1,21.3,30.6,72.6,177.7,236.8,313.8,215.7,146.3,26.4,9.3,1275.4,24.9,124.5,944.0,182.0
1956.0,17.0,11.1,31.5,28.1,85.5,211.0,354.1,254.3,163.9,150.1,44.0,11.9,1362.6,28.1,145.0,983.3,206.1
1957.0,31.1,10.9,24.2,39.5,71.2,153.2,300.8,265.4,131.7,64.0,28.6,11.3,1131.9,42.0,134.9,851.1,103.8
1958.0,12.4,16.5,19.1,36.9,80.5,123.7,316.9,324.9,225.7,114.7,30.0,10.9,1312.3,28.9,136.5,991.3,155.7
1959.0,31.8,23.8,21.3,25.9,75.3,169.8,375.5,265.1,237.3,119.7,26.0,5.3,1376.9,55.6,122.6,1047.7,151.1
1960.0,13.8,2.7,35.2,20.0,57.7,157.3,320.0,252.9,184.7,68.5,33.7,8.3,1154.8,16.5,112.8,914.9,110.5
1961.0,26.1,34.8,26.0,28.5,77.6,192.9,336.6,287.6,234.9,122.2,21.7,10.4,1399.2,60.9,132.1,1052.0,154.2
1962.0,12.6,21.6,16.0,43.6,70.8,137.1,281.6,276.9,211.0,78.4,18.3,29.9,1198.0,34.3,130.4,906.6,126.7
1963.0,6.8,9.8,41.7,50.6,60.9,168.0,258.6,316.7,164.9,99.1,28.4,15.5,1220.9,16.6,153.1,908.2,142.9
1964.0,18.6,14.1,19.0,40.0,52.1,177.2,345.7,273.7,200.4,67.4,22.8,13.3,1244.4,32.7,111.1,997.0,103.5
1965.0,11.8,28.1,26.7,45.1,52.7,116.1,270.1,192.8,129.5,34.0,18.2,22.2,947.4,39.9,124.6,708.5,74.4
1966.0,13.1,25.4,20.3,30.6,57.2,178.8,252.5,212.5,143.9,56.1,51.0,16.7,1058.0,38.5,108.0,787.8,123.7
1967.0,11.1,14.2,63.3,29.5,42.8,144.0,305.6,264.3,170.3,40.6,12.1,56.1,1154.0,25.3,135.6,884.2,108.9
1968.0,29.4,19.8,27.5,32.6,46.7,149.6,309.9,212.8,129.5,67.1,21.8,12.6,1059.3,49.2,106.8,801.7,101.6
1969.0,12.7,14.5,20.1,39.7,63.4,130.2,317.8,273.4,172.7,55.0,35.8,12.7,1147.8,27.2,123.1,894.0,103.4
1970.0,23.2,27.3,25.9,29.2,69.7,215.9,245.6,313.0,212.7,75.3,15.7,1.6,1255.0,50.5,124.8,987.1,92.6
1971.0,16.1,23.6,10.8,52.8,75.0,229.9,267.2,267.3,146.5,99.9,15.9,12.0,1216.9,39.7,138.6,910.8,127.8
1972.0,10.3,27.6,21.6,37.1,55.3,123.3,204.0,219.5,127.5,65.7,31.4,23.7,947.1,37.8,114.0,674.3,120.9
1973.0,21.0,21.8,21.2,27.5,56.5,149.9,277.4,311.0,182.1,114.6,18.9,17.7,1219.5,42.8,105.2,920.3,151.2
1974.0,16.1,12.9,20.5,33.7,64.2,122.0,283.6,232.5,145.3,101.6,10.7,12.1,1055.3,29.1,118.4,783.4,124.4
1975.0,15.4,20.8,28.7,28.3,50.2,175.6,310.7,292.5,224.6,121.9,22.8,3.3,1294.8,36.1,107.3,1003.4,148.0
1976.0,11.5,24.5,25.5,36.3,45.4,160.3,294.1,294.0,144.2,33.0,55.0,7.6,1131.6,36.0,107.3,892.7,95.6
1977.0,21.0,10.2,14.6,68.3,84.4,187.2,323.4,245.4,147.8,85.6,65.8,16.1,1269.7,31.2,167.3,903.8,167.4
1978.0,12.3,27.0,44.2,33.1,60.2,208.8,290.0,282.0,161.9,49.1,49.9,18.8,1237.2,39.3,137.4,942.7,117.8
1979.0,20.9,35.0,28.9,21.2,54.2,140.5,239.6,210.6,136.8,51.8,76.1,14.4,1030.2,55.9,104.3,727.6,142.4
1980.0,12.8,22.3,32.5,34.6,55.3,227.8,295.0,263.8,145.7,49.3,24.2,19.0,1182.3,35.1,122.5,932.4,92.4
1981.0,29.3,20.4,48.0,37.3,67.1,151.3,309.1,237.0,184.5,45.1,27.4,14.0,1170.7,49.7,152.4,882.0,86.6
1982.0,23.8,24.2,45.7,49.8,59.0,137.8,230.8,276.9,124.9,51.7,46.0,13.9,1084.4,48.0,154.5,770.4,111.5
1983.0,18.5,23.3,43.4,57.0,70.1,150.8,282.2,304.3,251.6,85.9,10.8,22.9,1320.9,41.7,170.5,988.9,119.7
1984.0,19.0,35.9,22.8,45.3,60.4,192.3,291.9,256.5,144.6,61.0,15.7,15.3,1160.8,54.9,128.5,885.4,92.0
1985.0,23.2,9.9,20.1,39.5,63.0,156.5,290.1,231.7,149.6,114.1,18.8,28.4,1144.9,33.1,122.6,827.9,161.4
1986.0,15.5,36.6,29.9,50.0,49.4,182.6,264.2,228.3,128.4,74.7,49.6,28.4,1137.6,52.0,129.3,803.6,152.7
1987.0,13.2,23.8,28.8,43.9,67.0,133.9,223.2,242.1,152.2,94.4,44.4,21.9,1088.9,37.0,139.8,751.4,160.7
1988.0,10.4,28.7,53.7,41.7,70.4,161.8,374.8,295.3,217.7,53.6,16.2,17.8,1342.1,39.1,165.8,1049.6,87.7
1989.0,15.4,15.3,28.8,34.6,57.5,184.7,302.3,236.2,163.1,51.9,20.3,17.2,1127.4,30.7,121.0,886.3,89.4
1990.0,16.0,44.2,54.0,43.8,112.9,191.3,282.9,293.6,197.4,104.1,30.2,31.0,1401.4,60.3,210.7,965.2,165.3
1991.0,14.3,28.1,27.8,51.7,68.9,184.7,279.2,268.1,140.7,61.8,30.2,14.7,1170.2,42.3,148.5,872.7,106.8
1992.0,16.0,16.5,24.8,26.1,59.3,139.7,262.5,274.0,171.7,64.7,41.6,5.6,1102.7,32.5,110.2,848.0,112.0
1993.0,18.2,25.6,41.6,27.0,71.3,172.1,305.4,203.2,208.5,87.9,30.5,16.5,1207.8,43.8,139.9,889.3,134.9
1994.0,25.0,27.9,25.2,45.9,53.1,205.7,350.0,282.2,149.4,82.8,25.5,22.6,1295.3,52.9,124.1,987.4,130.9
1995.0,31.3,29.4,28.3,32.4,82.4,143.3,323.4,269.0,179.0,78.0,36.8,9.2,1242.4,60.7,143.0,914.7,123.9
1996.0,22.9,23.2,32.1,31.4,56.0,185.7,262.1,292.4,146.1,100.5,13.6,16.9,1182.9,46.1,119.6,886.2,130.9
1997.0,14.3,10.4,30.3,46.0,48.6,171.7,281.5,261.9,151.4,61.1,57.6,48.3,1183.1,24.7,124.8,866.5,167.0
1998.0,16.4,28.2,39.1,36.3,49.2,163.9,278.4,243.8,196.5,107.4,39.3,10.3,1208.8,44.6,124.6,882.6,157.0
1999.0,13.7,11.2,8.8,19.3,94.9,169.9,261.7,213.2,183.0,117.2,20.0,3.7,1116.6,24.9,122.9,827.9,141.0
2000.0,18.4,28.2,17.9,34.7,71.6,179.0,263.5,221.1,134.5,41.9,14.6,10.0,1035.4,46.6,124.3,798.1,66.4
2001.0,6.7,11.6,19.9,44.6,62.9,221.2,281.1,205.5,111.0,100.4,19.7,16.1,1100.7,18.3,127.4,818.8,136.2
2002.0,17.1,20.1,23.8,38.6,59.8,172.6,143.8,246.1,137.9,55.6,15.6,5.0,935.9,37.3,122.1,700.5,76.1
2003.0,7.3,42.3,36.7,36.6,40.1,169.3,306.5,243.6,183.4,92.7,11.5,17.2,1187.3,49.6,113.5,902.9,121.3
2004.0,25.1,10.0,12.8,55.2,80.6,171.1,250.5,254.0,131.5,95.0,17.9,2.8,1106.5,35.1,148.6,807.1,115.7
2005.0,28.1,41.8,42.5,37.7,46.1,143.2,334.1,190.1,206.9,99.3,27.2,11.2,1208.3,69.9,126.3,874.3,137.7
2006.0,17.7,11.9,35.6,32.7,75.0,141.8,287.6,281.3,178.6,51.8,34.6,13.1,1161.6,29.6,143.2,889.3,99.5
2007.0,1.7,36.7,35.2,30.6,46.8,192.5,286.2,257.4,206.8,55.7,14.4,15.3,1179.3,38.3,112.6,943.0,85.4
2008.0,18.4,19.3,41.2,29.5,43.7,202.0,245.0,265.8,165.1,51.6,25.5,11.0,1118.0,37.7,114.5,877.8,88.1
2009.0,12.0,12.0,14.2,25.1,56.0,85.7,280.7,192.5,139.4,71.4,53.7,11.1,953.7,24.0,95.3,698.3,136.1
2010.0,7.5,17.0,14.0,39.0,73.8,138.1,300.7,274.7,197.7,69.0,61.4,22.7,1215.5,24.5,126.8,911.1,153.2
2011.0,6.8,25.8,22.4,41.1,53.1,183.5,246.0,284.9,186.9,38.1,20.1,7.6,1116.3,32.6,116.6,901.3,65.8
2012.0,26.5214906889,12.7165762511,11.2877691404,47.5023394191,31.6759293651,117.768888022,250.227577558,262.395469468,193.519620857,58.663092991,30.7183573303,11.7135625476,1054.71067364,39.23806694,90.4660379247,823.911555906,101.095012869
