-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.15.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.15.csv"
}
-----
State,District,Supplementary Irrigation-Kharif,Supplementary Irrigation-Rabi,Supplementary Irrigation-Perennial,Supplementary Irrigation-Others,Supplementary Irrigation-Total
KARNATAKA,KODAGU,0,0,0,0,0
KARNATAKA,KOLAR,243.05,77.61,88.26,9.4,418
KARNATAKA,MANDYA,52.73,74.45,74.26,14.27,216
KARNATAKA,MYSORE,804.93,83.07,138.09,67.58,1094
KARNATAKA,RAICHUR,258.81,82,42.59,22.5,406
KARNATAKA,SHIMOGA,1173.69,226.57,231.16,159.75,1791
KARNATAKA,TUMKUR,247.72,38.06,123.07,827.55,1236
KARNATAKA,UTTARA KANNADA,0,0,0,0,0
KERALA,ALAPUZHA,0,0,6,0,6
KERALA,ERANAKULAM,0,0,0,1,1
KERALA,IDUKKI,0,0,0,0,0
KERALA,KANNUR,0,0,0,0,0
KERALA,KASARAGODE,0,0,0,0,0
KERALA,KOLLAM,0,0,0,0,0
KERALA,KOTTAYAM,0,0,0,0,0
KERALA,KOZHIKODE,0,0,0,0,0
KERALA,MALAPPURAM,0,0,0,0,0
KERALA,PALAKKAD,33,73,0,20,126
KERALA,PATHANAMTHITTA,0,0,0,0,0
KERALA,THIRUVANANTHAPURAM,32,18,10,9,69
KERALA,THRISSUR,0,0,0,0,0
MADHYA PRADESH,BALAGHAT,0,0,0,0,0
MADHYA PRADESH,BASTAR,0,0,0,0,0
MADHYA PRADESH,BETUL,1,19,0,0,20
MADHYA PRADESH,BHIND,0,0,0,0,0
MADHYA PRADESH,BHOPAL,0,0,0,0,0
MADHYA PRADESH,BILASPUR,1571,667,5,3,2246
MADHYA PRADESH,CHHATARPUR,0,0,0,0,0
MADHYA PRADESH,CHHINDWARA,0,0,0,0,0
MADHYA PRADESH,DAMOH,0,61,0,0,61
MADHYA PRADESH,DEWAS,7,109,0,0,116
MADHYA PRADESH,DHAR,0,88,45,0,133
MADHYA PRADESH,DURG,1093,96,1,5,1195
MADHYA PRADESH,GUNA,0,101,0,0,101
MADHYA PRADESH,GWALIOR,242,363,0,0,605
MADHYA PRADESH,HOSHANGABAD,0,111,0,0,111
MADHYA PRADESH,INDORE,0,42,0,0,42
MADHYA PRADESH,JABALPUR,0,0,0,0,0
MADHYA PRADESH,JHABUA,0,0,0,0,0
MADHYA PRADESH,KHANDWA,0,0,0,0,0
MADHYA PRADESH,KHARGONE,0,0,0,0,0
MADHYA PRADESH,MANDLA,0,0,0,0,0
MADHYA PRADESH,MANDSAUR,0,0,0,3,3
MADHYA PRADESH,MORENA,0,0,0,0,0
MADHYA PRADESH,NARSIMHAPUR,0,333,0,0,333
MADHYA PRADESH,PANNA,0,116,0,0,116
MADHYA PRADESH,RAIGARH,15,2,0,0,17
MADHYA PRADESH,RAIPUR,1806,409,12,4,2231
MADHYA PRADESH,RAISEN,0,0,0,0,0
MADHYA PRADESH,RAJGARH,0,0,0,0,0
MADHYA PRADESH,RAJNANDGAON,0,0,0,0,0
MADHYA PRADESH,RATLAM,5,2,0,0,7
MADHYA PRADESH,REWA,0,0,0,0,0
MADHYA PRADESH,SAGAR,0,24,0,0,24
MADHYA PRADESH,SATNA,0,0,0,0,0
MADHYA PRADESH,SEHORE,0,10,0,0,10
MADHYA PRADESH,SEONI,0,0,0,0,0
MADHYA PRADESH,SHAHDOL,0,0,0,0,0
MADHYA PRADESH,SHAJAPUR,0,0,0,0,0
MADHYA PRADESH,SHIVPURI,0,0,0,0,0
MADHYA PRADESH,SIDHI,0,0,0,0,0
MADHYA PRADESH,SURGUJA,5,0,0,0,5
MADHYA PRADESH,TIKAMGARH,0,0,0,0,0
MADHYA PRADESH,UJJAIN,0,224,0,4,228
MADHYA PRADESH,VIDISHA,0,6,0,0,6
MANIPUR,BISHNUPUR,0,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0,0
MEGHALAYA,WEST GARO HILLS,5,0,4,0,9
MEGHALAYA,WEST KHASI HILLS,0,0,0,0,0
NAGALAND,KOHIMA,0,0,0,0,0
ORISSA,ANGUL,0,0,0,0,0
ORISSA,BALASORE,50,138,0,0,188
ORISSA,BARAGARH,0,0,0,0,0
ORISSA,BHADRAK,174,27,0,3,204
ORISSA,BOLANGIR,0,0,0,0,0
ORISSA,CUTTACK,612,479,88,0,1179
ORISSA,GAJAPATI,0,0,0,0,0
ORISSA,GANJAM,584,15,50,0,649
ORISSA,JAGATSINGHPUR,591,66,14,0,671
ORISSA,JAJPUR,432,72,7,0,511
ORISSA,JHARSUGUDA,0,0,0,0,0
ORISSA,KALAHANDI,0,0,6,0,6
ORISSA,KENDRAPARA,72,235,0,1,308
ORISSA,KEONJHAR,3,0,11,0,14
ORISSA,KHURDA,5,24,78,0,107
ORISSA,KORAPUT,0,0,10,0,10
ORISSA,MAYURBHANJ,0,0,0,0,0
ORISSA,NAYAGARH,0,5,329,0,334
ORISSA,NUAPADA,0,0,0,0,0
ORISSA,PURI,127,211,185,1,524
ORISSA,RAYAGADA,0,0,2,0,2
ORISSA,SAMBALPUR,0,0,0,0,0
ORISSA,SONEPUR,0,0,0,0,0
ORISSA,SUNDARGARH,0,0,0,0,0
PUNJAB,AMRITSAR,126933,124432,3613,5487,260465
PUNJAB,BATHINDA,113808,112185,319,7,226319
PUNJAB,FARIDKOT,218449,225311,1230,68,445058
PUNJAB,FATEHGARH SAHIB,34,33,3,6,76
PUNJAB,FEROZEPUR,153275,160251,2785,4197,320508
PUNJAB,GURDASPUR,48037,44246,5208,2466,99957
PUNJAB,HOSHIARPUR,4726,4674,208,200,9808
PUNJAB,JALANDHAR,8683,8644,3335,2738,23400
PUNJAB,KAPURTHALA,1835,1966,182,67,4050
PUNJAB,LUDHIANA,461,428,8,33,930
PUNJAB,MANSA,82557,83152,490,41,166240
PUNJAB,PATIALA,11739,11491,772,556,24558
PUNJAB,ROPAR,564,539,66,23,1192
PUNJAB,SANGRUR,72926,73176,1600,261,147963
RAJASTHAN,AJMER,0,0,0,0,0
RAJASTHAN,ALWAR,0,0,0,0,0
RAJASTHAN,BANSWARA,0,0,0,0,0
RAJASTHAN,BARAN,0,0,0,0,0
RAJASTHAN,BHARATPUR,0,0,0,0,0
RAJASTHAN,BHILWARA,0,0,0,0,0
RAJASTHAN,BIKANER,0,0,0,0,0
RAJASTHAN,BUNDI,0,0,0,0,0
RAJASTHAN,CHITTORGARH,0,0,0,0,0
RAJASTHAN,CHURU,0,130,0,0,130
RAJASTHAN,DAUSA,0,0,0,0,0
RAJASTHAN,DHOLPUR,0,0,0,0,0
RAJASTHAN,DUNGARPUR,0,0,0,0,0
RAJASTHAN,JAIPUR,0,0,0,0,0
RAJASTHAN,JAISALMER,0,0,0,0,0
RAJASTHAN,JALORE,0,0,0,0,0
RAJASTHAN,JHALAWAR,0,0,0,0,0
RAJASTHAN,JODHPUR,0,0,0,0,0
RAJASTHAN,KOTA,130,509,0,0,639
RAJASTHAN,NAGAUR,32,41,0,0,73
RAJASTHAN,PALI,0,0,0,0,0
RAJASTHAN,RAJSAMAND,0,0,0,0,0
RAJASTHAN,SAWAI-MADHOPUR,0,0,0,0,0
RAJASTHAN,SIROHI,0,0,0,0,0
RAJASTHAN,TONK,0,0,0,0,0
RAJASTHAN,UDAIPUR,0,0,0,0,0
TAMIL NADU,COIMBATORE,15.38,6.13,0,7.62,29
TAMIL NADU,CUDDALORE,324.63,739.1,287.73,440.92,1792
TAMIL NADU,DHARMAPURI,4.67,2.67,6.01,0,13
TAMIL NADU,DINDIGUL,0.3,1.6,0,0,2
TAMIL NADU,ERODE,27,0,4.9,1.49,33
TAMIL NADU,KANCHIPURAM,175.06,413.85,1528.89,36,2154
TAMIL NADU,KANNIYAKUMARI,0,0,0,0,0
TAMIL NADU,KARUR,0,0,0,0,0
TAMIL NADU,MADURAI,0,0,0,0,0
TAMIL NADU,NAGAPATTINAM,572.31,629.07,39.54,177.67,1419
TAMIL NADU,NAMAKKAL,12.46,0,0,0,12
TAMIL NADU,PERAMBALUR,49,383.54,0,1.05,434
TAMIL NADU,PUDUKOTTAI,0,0.67,0,0,1
TAMIL NADU,RAMNATHAPURAM,20.8,48.91,8.82,6.59,85
TAMIL NADU,SALEM,58.79,0,0,0,59
TAMIL NADU,SIVAGANGA,0,0,3.58,0,4
TAMIL NADU,THANJAVUR,20154.46,11507.39,3446.49,308.9,35417
TAMIL NADU,THENI,3,0,16.8,0,20
TAMIL NADU,TIRUNELVELI,0,0,0,0,0
TAMIL NADU,TIRUVALLUR,554.03,352.66,141.87,48.55,1097
TAMIL NADU,TIRUVARUR,9412.54,9199.47,148.91,284.33,19045
TAMIL NADU,TRICHIRAPPALLI,31.29,11.52,43.6,2.26,89
TAMIL NADU,VILLUPURAM,174.27,157.25,19.61,32.45,384
TRIPURA,DHALAI,0,0,0,0,0
TRIPURA,NORTH,0,0,0,0,0
TRIPURA,SOUTH,0,0,0,0,0
TRIPURA,WEST,0,0,0,0,0
UTTAR PRADESH,AGRA,758,2256,67,562,3643
UTTAR PRADESH,ALIGARH,130,63,0,1,194
UTTAR PRADESH,ALLAHABAD,1467,2340,185,563,4555
UTTAR PRADESH,AMBEDKAR NAGAR,1019,1895,1073,494,4481
UTTAR PRADESH,AZAMGARH,593,618,616,0,1827
UTTAR PRADESH,BADAUN,0,0,0,0,0
UTTAR PRADESH,BAHRAICH,282,515,436,14,1247
UTTAR PRADESH,BALLIA,1933,2178,597,497,5205
UTTAR PRADESH,BANDA,239,178,158,3,578
UTTAR PRADESH,BARABANKI,4886,5396,835,958,12075
UTTAR PRADESH,BAREILLY,1262,964,5,11,2242
UTTAR PRADESH,BASTI,534,395,76,67,1072
UTTAR PRADESH,BIJNOR,278,220,253,85,836
UTTAR PRADESH,BULANDSHAHR,628,598,55,60,1341
UTTAR PRADESH,DEHRADUN,38,41,8,4,91
UTTAR PRADESH,DEORIA,2387,2446,1617,241,6691
UTTAR PRADESH,ETAH,209,186,127,12,534
UTTAR PRADESH,ETAWAH,47566,76943,5199,5657,135365
UTTAR PRADESH,FAIZABAD,3068,3036,220,198,6522
UTTAR PRADESH,FARUKHABAD,0,0,0,0,0
UTTAR PRADESH,FATEHPUR,343,403,23,37,806
UTTAR PRADESH,FIROZABAD,1517,3090,87,430,5124
UTTAR PRADESH,GHAZIABAD,442,371,6,40,859
UTTAR PRADESH,GHAZIPUR,5047,5792,920,217,11976
UTTAR PRADESH,GONDA,199,197,49,51,496
UTTAR PRADESH,GORAKHPUR,1520,2232,1237,70,5059
UTTAR PRADESH,HAMIRPUR,14,662,25,6,707
UTTAR PRADESH,HARDOI,2565,4567,534,666,8332
UTTAR PRADESH,HARDWAR,1605,1470,2007,52,5134
UTTAR PRADESH,JALAUN,1093,5839,246,559,7737
UTTAR PRADESH,JAUNPUR,2329,1541,99,71,4040
UTTAR PRADESH,JHANSI,2,14,0,0,16
UTTAR PRADESH,KANPUR DEHAT,3083,9053,773,392,13301
UTTAR PRADESH,KANPUR NAGAR,4,9,0,0,13
UTTAR PRADESH,KHIRI,4523,3326,2450,282,10581
UTTAR PRADESH,KUSHI NAGAR,2776,2976,816,152,6720
UTTAR PRADESH,LALITPUR,0,0,0,0,0
UTTAR PRADESH,LUCKNOW,6090,5918,4578,3615,20201
UTTAR PRADESH,MAHOBA,0,1,0,0,1
UTTAR PRADESH,MAHRAJGANJ,1609,1941,922,207,4679
UTTAR PRADESH,MAINPURI,1884,2013,43,277,4217
UTTAR PRADESH,MATHURA,9624,11627,1490,582,23323
UTTAR PRADESH,MAU,1049,1109,368,145,2671
UTTAR PRADESH,MEERUT,1289,1197,839,372,3697
UTTAR PRADESH,MIRZAPUR,1310,2445,278,66,4099
UTTAR PRADESH,MORADABAD,62044,62016,27516,10,151586
UTTAR PRADESH,MUZAFFER NAGAR,8685,6738,4382,700,20505
UTTAR PRADESH,NAINITAL,0,0,0,0,0
UTTAR PRADESH,PILIBHIT,6085,5058,1250,43,12436
UTTAR PRADESH,PRATAPGARH,239,226,4,30,499
UTTAR PRADESH,RAEBARELY,133022,4300,308,410,138040
UTTAR PRADESH,RAMPUR,2873,2658,1588,1091,8210
UTTAR PRADESH,SAHARANPUR,4072,3707,1752,662,10193
UTTAR PRADESH,SANT RAVIDAS NAGAR,899,1572,469,257,3197
UTTAR PRADESH,SHAHJAHANPUR,5915,5540,688,101,12244
UTTAR PRADESH,SIDDHARTH NAGAR,143,236,128,30,537
UTTAR PRADESH,SITAPUR,3336,2493,1041,1288,8158
UTTAR PRADESH,SONBHADRA,300,272,98,8,678
UTTAR PRADESH,SULTANPUR,3,3,3,2,11
UTTAR PRADESH,UDHAMSINGH NAGAR,952,635,415,133,2135
UTTAR PRADESH,UNNAO,148406,3015,234,129,151784
UTTAR PRADESH,VARANASI,6454,6792,622,380,14248
WEST BENGAL,BANKURA,2510,1210,49,398,4167
WEST BENGAL,BIRBHUM,1720,584,57,721,3082
WEST BENGAL,BURDWAN,3337,1233,39,4110,8719
WEST BENGAL,COOCHBEHAR,445,408,17,114,984
WEST BENGAL,DAKSHIN DINAJPUR,400,557,19,237,1213
WEST BENGAL,DARJEELING,2,7,0,0,9
WEST BENGAL,HOOGLY,2282,1716,754,382,5134
WEST BENGAL,HOWRAH,1,0,0,0,1
WEST BENGAL,JALPAIGURI,103,170,0,18,291
WEST BENGAL,MALDA,31,33,3,9,76
WEST BENGAL,MIDNAPORE,2220,3120,253,1181,6774
WEST BENGAL,MURSHIDABAD,1976,1608,651,513,4748
WEST BENGAL,NADIA,1239,1140,32,9,2420
WEST BENGAL,NORTH 24 PARGANAS,316,523,4,58,901
WEST BENGAL,PURULIA,0,0,0,0,0
WEST BENGAL,SOUTH 24 PARGANAS,0,13,0,4,17
WEST BENGAL,UTTAR DINAJPUR,643,540,0,737,1920
DELHI,EAST,0,0,0,0,0
DELHI,NORTH-EAST,0,0,0,0,0
DELHI,NORTH-WEST,0,0,0,0,0
DELHI,SOUTH-WEST,0,0,0,0,0
DELHI,WEST,0,0,0,0,0
PONDICHERRY,KARAIKAL,0,0,0,0,0
PONDICHERRY,PONDICHERRY,0,0,0,0,0
