-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.12.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.12.csv"
}
-----
"State","District","Total Number of Tubewells","Average length of channel - Pucca","Average length of channel - Kuccha","Average length of channel - Underground","Total - Average length of channels"
"ASSAM","NAGAON",24,44,95,452,591
"ASSAM","NALBARI",69,164,178,611,953
"ASSAM","NORTH CACHAR HILLS",2,0,98,0,98
"ASSAM","SIBSAGAR",10,150,125,405,680
"ASSAM","SONITPUR",11,234,384,1233,1851
"ASSAM","TINSUKIA",36,68,33,655,756
"BIHAR","ARARIA",15,178,420,502,1100
"BIHAR","AURANGABAD",84,114,1674,1161,2949
"BIHAR","BANKA",3,0,2029,128,2157
"BIHAR","BEGUSARAI",253,463,583,229,1275
"BIHAR","BHABUA",120,269,651,426,1346
"BIHAR","BHAGALPUR",182,324,841,740,1905
"BIHAR","BHOJPUR",194,462,651,282,1395
"BIHAR","BOKARO",NA,NA,NA,NA,NA
"BIHAR","BUXAR",169,154,301,198,653
"BIHAR","CHAMPARAN EAST",282,521,318,526,1365
"BIHAR","CHAMPARAN WEST",57,52,498,256,806
"BIHAR","CHATRA",NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",195,356,163,143,662
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA
"BIHAR","DUMKA",1,0,0,400,400
"BIHAR","GARHWA",11,0,48,0,48
"BIHAR","GAYA",38,547,72,11,630
"BIHAR","GIRIDIH",1,0,0,10,10
"BIHAR","GODDA",NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",96,701,251,162,1114
"BIHAR","GUMLA",NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA
"BIHAR","JAMUI",9,0,241,104,345
"BIHAR","JEHANABAD",107,105,2179,2542,4826
"BIHAR","KATIHAR",30,576,294,249,1119
"BIHAR","KHAGARIA",122,338,1017,1845,3200
"BIHAR","KISHANGANJ",20,332,263,895,1490
"BIHAR","KODARMA",16,0,48,0,48
"BIHAR","LAKHISARAI",31,124,365,361,850
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",21,10,643,1127,1780
"BIHAR","MADHUBANI",975,200,255,129,584
"BIHAR","MUNGER",2,0,100,0,100
"BIHAR","MUZAFFARPUR",296,3108,763,641,4512
"BIHAR","NALANDA",332,165,254,112,531
"BIHAR","NAWADA",214,341,125,103,569
"BIHAR","PAKUR",22,0,31,0,31
"BIHAR","PALAMU",NA,NA,NA,NA,NA
"BIHAR","PATNA",434,248,255,170,673
"BIHAR","PURNIA",7,873,338,167,1378
"BIHAR","RANCHI",NA,NA,NA,NA,NA
"BIHAR","ROHTAS",110,479,101,77,657
"BIHAR","SAHARSA",15,73,530,0,603
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",255,277,368,258,903
"BIHAR","SARAN",137,233,479,305,1017
"BIHAR","SHEIKHPURA",94,93,757,637,1487
"BIHAR","SHEOHAR",3,113,163,758,1034
"BIHAR","SINGHBHUM EAST",6,0,115,807,922
"BIHAR","SINGHBHUM WEST",1,0,0,0,0
"BIHAR","SITAMARHI",1220,171,771,534,1476
"BIHAR","SIWAN",93,246,209,0,455
"BIHAR","SUPAUL",35,185,1909,1391,3485
"BIHAR","VAISHALI",132,693,3670,556,4919
"GOA","NORTH GOA",18,0,274,0,274
"GOA","SOUTH GOA",1,250,600,0,850
"GUJARAT","",NA,NA,NA,NA,NA
"HARYANA","AMBALA",2263,10,311,37,358
"HARYANA","BHIWANI",25,331,0,0,331
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA
"HARYANA","GURGAON",130,3,210,68,281
"HARYANA","HISAR",NA,NA,NA,NA,NA
"HARYANA","JIND",300,26,137,1,164
"HARYANA","KAITHAL",827,3,147,21,171
"HARYANA","KARNAL",1706,12,142,3,157
"HARYANA","KURUKSHETRA",340,1,134,26,161
"HARYANA","MEHANDERGARH",100,50,0,5,55
"HARYANA","PANCHKULA",114,0,159,164,323
"HARYANA","PANIPAT",195,69,100,0,169
"HARYANA","RIWARI",NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA
"HARYANA","SIRSA",210,0,454,0,454
"HARYANA","SONIPAT",20,0,350,0,350
"HARYANA","YAMUNA NAGAR",184,16,313,99,428
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",56,202,126,663,991
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",2,0,600,0,600
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",10,100,0,1828,1928
"HIMACHAL PRADESH","Solan",26,39,499,479,1017
"HIMACHAL PRADESH","Una",136,381,469,726,1576
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",9,133,133,0,266
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",64,831,168,0,999
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",9,28,812,0,840
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",15,47,58,0,105
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",10542,27,40,29,96
"KARNATAKA","BANGALORE URBAN",7587,22,79,23,124
"KARNATAKA","BELGAUM",12109,28,53,67,148
"KARNATAKA","BELLARY",10120,29,39,39,107
"KARNATAKA","BIDAR",3746,25,61,39,125
"KARNATAKA","BIJAPUR",5666,48,40,36,124
"KARNATAKA","CHIKKAMAGALORE",2053,8,56,9,73
"KARNATAKA","CHITRADURGA",9553,14,67,23,104
"KARNATAKA","DAKSHINA KANNADA",1915,60,16,20,96
"KARNATAKA","DHARWAR",11169,41,47,22,110
"KARNATAKA","GULBARGA",307,63,66,14,143
"KARNATAKA","HASSAN",1267,17,68,50,135
"KARNATAKA","KODAGU",23,8,79,17,104
"KARNATAKA","KOLAR",22568,14,94,55,163
"KARNATAKA","MANDYA",3353,23,29,40,92
"KARNATAKA","MYSORE",5512,17,31,24,72
"KARNATAKA","RAICHUR",4669,20,43,40,103
"KARNATAKA","SHIMOGA",6619,26,60,66,152
"KARNATAKA","TUMKUR",31394,14,44,34,92
"KARNATAKA","UTTARA KANNADA",410,9,74,12,95
"KERALA","ALAPUZHA",58,0,0,0,0
"KERALA","ERANAKULAM",12,0,528,304,832
"KERALA","IDUKKI",2,0,0,0,0
"KERALA","KANNUR",17,0,46,92,138
"KERALA","KASARAGODE",30,4,67,812,883
"KERALA","KOLLAM",8,0,13,233,246
"KERALA","KOTTAYAM",11,0,181,1189,1370
"KERALA","KOZHIKODE",2,0,0,400,400
"KERALA","MALAPPURAM",13,22,127,44,193
"KERALA","PALAKKAD",29,17,36,31,84
"KERALA","PATHANAMTHITTA",9,13,0,0,13
"KERALA","THIRUVANANTHAPURAM",6,8,17,208,233
"KERALA","THRISSUR",1,250,0,0,250
"KERALA","WAYANAD",NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",1,0,0,0,0
"MADHYA PRADESH","BASTAR",4,57,28,0,85
"MADHYA PRADESH","BETUL",254,0,121,18,139
"MADHYA PRADESH","BHIND",122,1,188,0,189
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",475,2,30,1,33
"MADHYA PRADESH","CHHATARPUR",214,0,57,0,57
"MADHYA PRADESH","CHHINDWARA",1881,16,104,21,141
"MADHYA PRADESH","DAMOH",220,26,72,65,163
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",1030,1,22,21,44
"MADHYA PRADESH","DHAR",448,3,58,61,122
"MADHYA PRADESH","DURG",147,8,47,0,55
"MADHYA PRADESH","GUNA",463,15,32,43,90
"MADHYA PRADESH","GWALIOR",47,0,179,3,182
"MADHYA PRADESH","HOSHANGABAD",143,76,142,15,233
"MADHYA PRADESH","INDORE",985,0,30,68,98
"MADHYA PRADESH","JABALPUR",511,111,24,22,157
"MADHYA PRADESH","JHABUA",53,43,12,52,107
"MADHYA PRADESH","KHANDWA",962,18,66,139,223
"MADHYA PRADESH","KHARGONE",1215,3,38,80,121
"MADHYA PRADESH","MANDLA",2,20,110,0,130
"MADHYA PRADESH","MANDSAUR",1165,1,49,74,124
"MADHYA PRADESH","MORENA",288,7,153,0,160
"MADHYA PRADESH","NARSIMHAPUR",1440,7,54,111,172
"MADHYA PRADESH","PANNA",59,1,77,6,84
"MADHYA PRADESH","RAIGARH",433,14,35,0,49
"MADHYA PRADESH","RAIPUR",182,11,57,3,71
"MADHYA PRADESH","RAISEN",105,0,49,109,158
"MADHYA PRADESH","RAJGARH",157,0,72,50,122
"MADHYA PRADESH","RAJNANDGAON",70,12,59,0,71
"MADHYA PRADESH","RATLAM",1827,0,98,44,142
"MADHYA PRADESH","REWA",517,7,177,6,190
"MADHYA PRADESH","SAGAR",192,3,24,93,120
"MADHYA PRADESH","SATNA",1795,12,123,19,154
"MADHYA PRADESH","SEHORE",5,0,20,125,145
"MADHYA PRADESH","SEONI",1267,0,10,17,27
"MADHYA PRADESH","SHAHDOL",192,7,164,3,174
"MADHYA PRADESH","SHAJAPUR",588,0,9,124,133
"MADHYA PRADESH","SHIVPURI",243,1,79,13,93
"MADHYA PRADESH","SIDHI",25,5,164,9,178
"MADHYA PRADESH","SURGUJA",1635,0,10,4,14
"MADHYA PRADESH","TIKAMGARH",807,0,19,0,19
"MADHYA PRADESH","UJJAIN",2098,0,15,67,82
"MADHYA PRADESH","VIDISHA",184,0,89,161,250
"MAHARASHTRA","",NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",1,0,320,0,320
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",6,437,15,8,460
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",3,0,0,0,0
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA
"ORISSA","BALASORE",1473,96,144,52,292
"ORISSA","BARAGARH",16,1,93,76,170
"ORISSA","BHADRAK",478,64,110,33,207
"ORISSA","BOLANGIR",2,0,0,0,0
"ORISSA","BOUDH",1,0,0,0,0
"ORISSA","CUTTACK",160,71,115,41,227
"ORISSA","DEOGARH",NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",1,0,600,0,600
"ORISSA","GAJAPATI",2,0,20,0,20
"ORISSA","GANJAM",7,167,62,0,229
"ORISSA","JAGATSINGHPUR",84,30,147,17,194
"ORISSA","JAJPUR",353,84,62,107,253
"ORISSA","JHARSUGUDA",11,0,373,0,373
"ORISSA","KALAHANDI",3,12,110,0,122
"ORISSA","KENDRAPARA",40,57,139,65,261
"ORISSA","KEONJHAR",5,86,0,15,101
"ORISSA","KHURDA",13,200,72,156,428
"ORISSA","KORAPUT",NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",230,156,116,81,353
"ORISSA","NAYAGARH",2,0,20,0,20
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA
"ORISSA","NUAPADA",1,0,0,0,0
"ORISSA","PHULBANI",NA,NA,NA,NA,NA
"ORISSA","PURI",28,59,77,31,167
"ORISSA","RAYAGADA",1,0,300,0,300
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",1,0,560,0,560
"PUNJAB","BATHINDA",9,59,420,0,479
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",29,0,320,4,324
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",31,0,258,199,457
"PUNJAB","HOSHIARPUR",574,25,240,176,441
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",15,4,246,45,295
"PUNJAB","LUDHIANA",2,0,6,256,262
"PUNJAB","MANSA",15,0,404,0,404
"PUNJAB","PATIALA",410,19,381,41,441
"PUNJAB","ROPAR",162,12,254,172,438
"PUNJAB","SANGRUR",1029,118,246,26,390
"RAJASTHAN","AJMER",3,0,33,200,233
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",498,4,81,0,85
"RAJASTHAN","BARMER",5,0,394,0,394
"RAJASTHAN","BHARATPUR",354,0,107,2,109
"RAJASTHAN","BHILWARA",50,3,106,23,132
"RAJASTHAN","BIKANER",19,64,0,55,119
"RAJASTHAN","BUNDI",75,0,81,0,81
"RAJASTHAN","CHITTORGARH",840,3,319,18,340
"RAJASTHAN","CHURU",36,107,0,0,107
"RAJASTHAN","DAUSA",3,0,140,0,140
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",52,1,148,1,150
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",2,0,350,0,350
"RAJASTHAN","JALORE",78,75,148,74,297
"RAJASTHAN","JHALAWAR",73,7,69,1,77
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",6097,45,268,117,430
"RAJASTHAN","KOTA",329,17,277,260,554
"RAJASTHAN","NAGAUR",3693,56,215,66,337
"RAJASTHAN","PALI",280,7,191,70,268
"RAJASTHAN","RAJSAMAND",13,0,282,0,282
"RAJASTHAN","SAWAI-MADHOPUR",25,0,196,0,196
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA
"RAJASTHAN","TONK",6,0,868,0,868
"RAJASTHAN","UDAIPUR",19,48,60,25,133
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",4197,2,10,8,20
"TAMIL NADU","CUDDALORE",7693,12,64,6,82
"TAMIL NADU","DHARMAPURI",358,3,29,56,88
"TAMIL NADU","DINDIGUL",98,22,26,32,80
"TAMIL NADU","ERODE",1473,14,19,13,46
"TAMIL NADU","KANCHIPURAM",2,0,0,0,0
"TAMIL NADU","KANNIYAKUMARI",3,63,0,0,63
"TAMIL NADU","KARUR",149,0,10,58,68
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",4,0,0,143,143
"TAMIL NADU","NAGAPATTINAM",10,0,21,0,21
"TAMIL NADU","NAMAKKAL",2051,21,13,10,44
"TAMIL NADU","PERAMBALUR",594,22,20,3,45
"TAMIL NADU","PUDUKOTTAI",1148,55,84,20,159
"TAMIL NADU","RAMNATHAPURAM",154,30,60,0,90
"TAMIL NADU","SALEM",1219,27,16,15,58
"TAMIL NADU","SIVAGANGA",92,151,28,3,182
"TAMIL NADU","THANJAVUR",3011,42,62,0,104
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA
"TAMIL NADU","THENI",283,8,8,1,17
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",33,36,13,7,56
"TAMIL NADU","TIRUVALLUR",262,11,67,48,126
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",778,17,53,0,70
"TAMIL NADU","TRICHIRAPPALLI",8,31,13,100,144
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",9342,36,51,24,111
"TAMIL NADU","VIRUDHUNAGAR",4,43,0,3,46
"TRIPURA","DHALAI",2,0,63,600,663
"TRIPURA","NORTH",9,0,84,1707,1791
"TRIPURA","SOUTH",39,85,116,1887,2088
"TRIPURA","WEST",81,82,38,1331,1451
"UTTAR PRADESH","AGRA",534,200,191,364,755
"UTTAR PRADESH","ALIGARH",60,111,113,79,303
"UTTAR PRADESH","ALLAHABAD",500,190,183,47,420
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",104,168,129,30,327
"UTTAR PRADESH","AZAMGARH",42,426,224,10,660
"UTTAR PRADESH","BADAUN",696,237,189,214,640
"UTTAR PRADESH","BAHRAICH",291,139,138,102,379
"UTTAR PRADESH","BALLIA",569,140,132,44,316
"UTTAR PRADESH","BANDA",186,46,209,178,433
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",696,275,127,251,653
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",387,222,219,55,496
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",68,193,208,1,402
"UTTAR PRADESH","DEORIA",470,134,130,50,314
"UTTAR PRADESH","ETAH",27,54,170,11,235
"UTTAR PRADESH","ETAWAH",281,98,133,208,439
"UTTAR PRADESH","FAIZABAD",208,273,111,22,406
"UTTAR PRADESH","FARUKHABAD",37,184,135,113,432
"UTTAR PRADESH","FATEHPUR",273,89,332,99,520
"UTTAR PRADESH","FIROZABAD",108,279,206,152,637
"UTTAR PRADESH","GHAZIABAD",243,664,9,120,793
"UTTAR PRADESH","GHAZIPUR",349,264,111,0,375
"UTTAR PRADESH","GONDA",388,140,125,65,330
"UTTAR PRADESH","GORAKHPUR",593,171,126,74,371
"UTTAR PRADESH","HAMIRPUR",160,66,173,34,273
"UTTAR PRADESH","HARDOI",54,473,232,243,948
"UTTAR PRADESH","HARDWAR",11,205,210,0,415
"UTTAR PRADESH","JALAUN",436,106,87,64,257
"UTTAR PRADESH","JAUNPUR",125,323,271,62,656
"UTTAR PRADESH","JHANSI",2,0,0,300,300
"UTTAR PRADESH","KANPUR DEHAT",549,105,239,95,439
"UTTAR PRADESH","KANPUR NAGAR",8,158,129,76,363
"UTTAR PRADESH","KHIRI",175,125,199,112,436
"UTTAR PRADESH","KUSHI NAGAR",42,355,208,46,609
"UTTAR PRADESH","LALITPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","LUCKNOW",33,326,154,107,587
"UTTAR PRADESH","MAHOBA",NA,NA,NA,NA,NA
"UTTAR PRADESH","MAHRAJGANJ",47,162,197,247,606
"UTTAR PRADESH","MAINPURI",NA,NA,NA,NA,NA
"UTTAR PRADESH","MATHURA",NA,NA,NA,NA,NA
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA
"UTTAR PRADESH","MEERUT",225,197,66,47,310
"UTTAR PRADESH","MIRZAPUR",234,246,150,138,534
"UTTAR PRADESH","MORADABAD",68,166,203,49,418
"UTTAR PRADESH","MUZAFFER NAGAR",270,239,146,23,408
"UTTAR PRADESH","NAINITAL",77,543,284,47,874
"UTTAR PRADESH","PAURI GARHWAL",2,2,0,0,2
"UTTAR PRADESH","PILIBHIT",32,119,171,118,408
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","PRATAPGARH",NA,NA,NA,NA,NA
"UTTAR PRADESH","RAEBARELY",14,179,234,289,702
"UTTAR PRADESH","RAMPUR",195,114,71,192,377
"UTTAR PRADESH","SAHARANPUR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SANT RAVIDAS NAGAR",437,249,237,47,533
"UTTAR PRADESH","SHAHJAHANPUR",97,154,121,147,422
"UTTAR PRADESH","SIDDHARTH NAGAR",NA,NA,NA,NA,NA
"UTTAR PRADESH","SITAPUR",113,212,181,123,516
"UTTAR PRADESH","SONBHADRA",NA,NA,NA,NA,NA
"UTTAR PRADESH","SULTANPUR",91,87,70,143,300
"UTTAR PRADESH","TEHRI GARHWAL",NA,NA,NA,NA,NA
"UTTAR PRADESH","UDHAMSINGH NAGAR",340,136,269,261,666
"UTTAR PRADESH","UNNAO",NA,NA,NA,NA,NA
"UTTAR PRADESH","UTTARKASHI",NA,NA,NA,NA,NA
"UTTAR PRADESH","VARANASI",678,257,203,52,512
"WEST BENGAL","BANKURA",103,29,189,698,916
"WEST BENGAL","BIRBHUM",82,1,1168,1760,2929
"WEST BENGAL","BURDWAN",512,29,238,1375,1642
"WEST BENGAL","COOCHBEHAR",73,85,856,1670,2611
"WEST BENGAL","DAKSHIN DINAJPUR",100,7,293,1657,1957
"WEST BENGAL","DARJEELING",20,34,325,250,609
"WEST BENGAL","HOOGLY",431,15,120,1546,1681
"WEST BENGAL","HOWRAH",147,1,180,1732,1913
"WEST BENGAL","JALPAIGURI",114,864,731,1039,2634
"WEST BENGAL","MALDA",271,5,432,2070,2507
"WEST BENGAL","MIDNAPORE",441,13,247,1155,1415
"WEST BENGAL","MURSHIDABAD",545,2,33,1730,1765
"WEST BENGAL","NADIA",713,21,267,1539,1827
"WEST BENGAL","NORTH 24 PARGANAS",282,107,409,1398,1914
