-----
{
 "description": "The table refers to district wise irrigation through supplemntary sources under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.13.csv", 
 "title": "Download CSV for Districtwise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.13.csv"
}
-----
State,District,Supplementary irrigation (Ha) - Kharif,Supplementary irrigation (Ha) - Rabi,Supplementary irrigation (Ha) - Perennial,Supplementary irrigation (Ha) - Others,Total
BIHAR,ROHTAS,852,564,0,1,1417
BIHAR,SAHARSA,0,0,0,0,0
BIHAR,SAHEBGANJ,0,0,0,0,0
BIHAR,SAMASTIPUR,10,12,4,1,27
BIHAR,SARAN,127,3991,88,0,4206
BIHAR,SHEIKHPURA,618,40,0,0,658
BIHAR,SHEOHAR,0,0,0,0,0
BIHAR,SINGHBHUM EAST,57,1205,0,0,1262
BIHAR,SINGHBHUM WEST,294,54,4,0,352
BIHAR,SITAMARHI,58,9,15,2,84
BIHAR,SIWAN,33,33,0,1,67
BIHAR,SUPAUL,0,0,0,0,0
BIHAR,VAISHALI,0,0,0,0,0
GOA,NORTH GOA,11,273,147,0,431
GOA,SOUTH GOA,0,29,21,9,59
GUJARAT,,NA,NA,NA,NA,NA
HARYANA,AMBALA,0,0,0,0,0
HARYANA,BHIWANI,0,0,0,0,0
HARYANA,FARIDABAD,0,0,0,0,0
HARYANA,GURGAON,0,0,0,0,0
HARYANA,HISAR,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,0,0,0,0,0
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,0,0,0,0,0
HARYANA,PANIPAT,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,0,0,0,0,0
HIMACHAL PRADESH,Chamba,0,0,0,0,0
HIMACHAL PRADESH,Hamirpur,0,0,0,0,0
HIMACHAL PRADESH,Kangra,0,0,0,0,0
HIMACHAL PRADESH,Kinnaur,0,0,0,0,0
HIMACHAL PRADESH,Kullu,0,0,0,0,0
HIMACHAL PRADESH,Lahul & Spiti,0,0,0,0,0
HIMACHAL PRADESH,Mandi,26,26,0,0,52
HIMACHAL PRADESH,Shimla,0,0,0,0,0
HIMACHAL PRADESH,Sirmaur,12,11,0,0,23
HIMACHAL PRADESH,Solan,4,4,0,0,8
HIMACHAL PRADESH,Una,0,0,0,0,0
JAMMU & KASHMIR,Anantnagh,9614,845,0,0,10459
JAMMU & KASHMIR,Baramulla,0,0,0,0,0
JAMMU & KASHMIR,Budgam,0,0,0,0,0
JAMMU & KASHMIR,Doda,560,0,0,0,560
JAMMU & KASHMIR,Jammu,0,0,0,0,0
JAMMU & KASHMIR,Kargil,0,0,0,0,0
JAMMU & KASHMIR,Kathua,220,0,0,0,220
JAMMU & KASHMIR,Kupwara,270,0,0,0,270
JAMMU & KASHMIR,Leh,0,0,0,0,0
JAMMU & KASHMIR,Poonch,0,0,0,0,0
JAMMU & KASHMIR,Pulwama,600,130,0,0,730
JAMMU & KASHMIR,Rajouri,69,7,0,0,76
JAMMU & KASHMIR,Srinagar,0,0,0,0,0
JAMMU & KASHMIR,Udhampur,280,112,0,0,392
KARNATAKA,BANGALORE RURAL,180.5,65.35,28.9,22.16,296.91
KARNATAKA,BANGALORE URBAN,18.21,1.28,56.25,1,76.74
KARNATAKA,BELGAUM,767.53,196.4,0.4,0,964.33
KARNATAKA,BELLARY,315.3,89.12,31,58.27,493.69
KARNATAKA,BIDAR,50,22,61,0,133
KARNATAKA,BIJAPUR,169.45,124.5,68,0,361.95
KARNATAKA,CHIKKAMAGALORE,319.82,0,0,40.2,360.02
KARNATAKA,CHITRADURGA,170.5,12.3,9.46,146.61,338.87
KARNATAKA,DAKSHINA KANNADA,13.2,68.61,13.95,1.18,96.94
KARNATAKA,DHARWAR,1401.46,320.2,34.06,6.06,1761.78
KARNATAKA,GULBARGA,3440.76,2724.39,105,149,6419.15
KARNATAKA,HASSAN,699.36,1108.61,429.92,94.4,2332.29
KARNATAKA,KODAGU,0,0,0,0,0
KARNATAKA,KOLAR,572.78,257.54,88,0,918.32
KARNATAKA,MANDYA,46.3,54.62,33.74,8.85,143.51
KARNATAKA,MYSORE,1018.07,122.53,28.05,245.28,1413.93
KARNATAKA,RAICHUR,246.3,861.06,6.03,4.4,1117.79
KARNATAKA,SHIMOGA,547.33,50,110.76,139.5,847.59
KARNATAKA,TUMKUR,2653.55,171.43,313.44,603,3741.42
KARNATAKA,UTTARA KANNADA,51,2,0,6,59
KERALA,ALAPUZHA,0,0,0,0,0
KERALA,ERANAKULAM,3173,1955,854,114,6096
KERALA,IDUKKI,0,0,0,0,0
KERALA,KANNUR,51,51,0,0,102
KERALA,KASARAGODE,1,1,1,0,3
KERALA,KOLLAM,0,0,0,0,0
KERALA,KOTTAYAM,0,0,0,4,4
KERALA,KOZHIKODE,46,26,19,27,118
KERALA,MALAPPURAM,32,30,0,0,62
KERALA,PALAKKAD,2535,4876,1,2,7414
KERALA,PATHANAMTHITTA,330,330,0,24,684
KERALA,THIRUVANANTHAPURAM,790,681,265,182,1918
KERALA,THRISSUR,252,651,107,428,1438
KERALA,WAYANAD,0,0,0,0,0
MADHYA PRADESH,BALAGHAT,0,0,0,0,0
MADHYA PRADESH,BASTAR,252,8,1,0,261
MADHYA PRADESH,BETUL,0,0,0,0,0
MADHYA PRADESH,BHIND,0,0,0,0,0
MADHYA PRADESH,BHOPAL,0,0,0,0,0
MADHYA PRADESH,BILASPUR,8635,3317,2,0,11954
MADHYA PRADESH,CHHATARPUR,0,0,0,0,0
MADHYA PRADESH,CHHINDWARA,0,0,0,0,0
MADHYA PRADESH,DAMOH,0,2,0,0,2
MADHYA PRADESH,DATIA,0,0,0,0,0
MADHYA PRADESH,DEWAS,0,431,0,0,431
MADHYA PRADESH,DHAR,64,348,0,0,412
MADHYA PRADESH,DURG,1905,21,0,0,1926
MADHYA PRADESH,GUNA,0,342,0,0,342
MADHYA PRADESH,GWALIOR,315,355,0,0,670
MADHYA PRADESH,HOSHANGABAD,0,0,0,0,0
MADHYA PRADESH,INDORE,0,0,0,0,0
MADHYA PRADESH,JABALPUR,0,0,10,0,10
MADHYA PRADESH,JHABUA,1,41,3680,0,3722
MADHYA PRADESH,KHANDWA,0,0,37,0,37
MADHYA PRADESH,KHARGONE,53,109,0,0,162
MADHYA PRADESH,MANDLA,18,226,0,0,244
MADHYA PRADESH,MANDSAUR,6,67,0,0,73
MADHYA PRADESH,MORENA,0,7,0,0,7
MADHYA PRADESH,NARSIMHAPUR,0,0,0,0,0
MADHYA PRADESH,PANNA,149,1649,0,0,1798
MADHYA PRADESH,RAIGARH,742,190,0,0,932
MADHYA PRADESH,RAIPUR,1430,310,0,4,1744
MADHYA PRADESH,RAISEN,0,0,0,0,0
MADHYA PRADESH,RAJGARH,0,0,0,0,0
MADHYA PRADESH,RAJNANDGAON,453,1,0,0,454
MADHYA PRADESH,RATLAM,0,6,0,0,6
MADHYA PRADESH,REWA,0,335,0,0,335
MADHYA PRADESH,SAGAR,0,57,0,0,57
MADHYA PRADESH,SATNA,18,3,0,0,21
MADHYA PRADESH,SEHORE,0,0,0,0,0
MADHYA PRADESH,SEONI,108,3,0,0,111
MADHYA PRADESH,SHAHDOL,0,47,0,0,47
MADHYA PRADESH,SHAJAPUR,0,0,0,0,0
MADHYA PRADESH,SHIVPURI,0,867,0,0,867
MADHYA PRADESH,SIDHI,0,0,0,0,0
MADHYA PRADESH,SURGUJA,6,480,0,0,486
MADHYA PRADESH,TIKAMGARH,0,0,0,0,0
MADHYA PRADESH,UJJAIN,0,70,0,0,70
MADHYA PRADESH,VIDISHA,0,0,0,0,0
MAHARASHTRA,,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,0,0,0,0,0
MANIPUR,CHANDEL,0,0,0,0,0
MANIPUR,CHURACHANDPUR,0,0,0,0,0
MANIPUR,IMPHAL,0,0,0,0,0
MANIPUR,SENAPATI,0,0,0,0,0
MANIPUR,TAMENGLONG,0,0,0,0,0
MANIPUR,THOUBAL,0,0,0,0,0
MANIPUR,UKHRUL,0,0,0,0,0
MEGHALAYA,EAST GARO HILLS,0,0,0,0,0
MEGHALAYA,EAST KHASI HILLS,0,0,0,0,0
MEGHALAYA,JAINTIA HILLS,0,0,0,0,0
MEGHALAYA,RI BHOI DISTRICT,0,0,0,0,0
MEGHALAYA,SOUTH GARO HILLS,0,0,0,0,0
MEGHALAYA,WEST GARO HILLS,953,189,55,36,1233
MEGHALAYA,WEST KHASI HILLS,628,0,3,1,632
MIZORAM,AIZAWL,0,0,0,0,0
MIZORAM,CHHIMTUIPUI,0,0,0,0,0
MIZORAM,LUNGLEI,2,0,0,0,2
NAGALAND,KOHIMA,0,0,0,0,0
NAGALAND,MOKOKCHUNG,0,0,0,0,0
NAGALAND,MON,0,0,0,0,0
NAGALAND,PHEK,0,0,0,0,0
NAGALAND,TUENSANG,0,0,0,0,0
NAGALAND,WOKHA,0,0,0,0,0
NAGALAND,ZUNHEBOTO,0,0,0,0,0
ORISSA,ANGUL,0,0,0,0,0
ORISSA,BALASORE,0,0,0,0,0
ORISSA,BARAGARH,2372,479,0,0,2851
ORISSA,BHADRAK,0,0,0,0,0
ORISSA,BOLANGIR,24,0,0,0,24
ORISSA,BOUDH,15,0,0,0,15
ORISSA,CUTTACK,18,15,13,0,46
ORISSA,DEOGARH,0,0,0,0,0
ORISSA,DHENKANAL,0,0,0,0,0
ORISSA,GAJAPATI,193,0,0,0,193
ORISSA,GANJAM,18260,277,77,0,18614
ORISSA,JAGATSINGHPUR,0,0,0,0,0
ORISSA,JAJPUR,5,10,0,10,25
ORISSA,JHARSUGUDA,0,0,0,0,0
ORISSA,KALAHANDI,15,3,88,0,106
ORISSA,KENDRAPARA,0,0,0,0,0
ORISSA,KEONJHAR,105,25,12,0,142
ORISSA,KHURDA,0,8,183,0,191
ORISSA,KORAPUT,18,15,287,0,320
ORISSA,MALKANGIRI,0,0,10,0,10
ORISSA,MAYURBHANJ,1121,70,0,0,1191
ORISSA,NAYAGARH,994,342,295,0,1631
ORISSA,NOWRANGPUR,20,0,9,0,29
ORISSA,NUAPADA,0,0,7,0,7
ORISSA,PHULBANI,45,3,0,0,48
ORISSA,PURI,15,8,95,0,118
ORISSA,RAYAGADA,56,0,106,0,162
ORISSA,SAMBALPUR,2,14,0,0,16
ORISSA,SONEPUR,1849,318,0,0,2167
ORISSA,SUNDARGARH,0,0,19,0,19
PUNJAB,AMRITSAR,0,0,0,0,0
PUNJAB,BATHINDA,6,6,0,0,12
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,0,0,0,0,0
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,0,0,0,0,0
PUNJAB,HOSHIARPUR,13,13,0,0,26
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,0,0,0,1,1
PUNJAB,SANGRUR,0,0,0,0,0
RAJASTHAN,AJMER,0,0,0,0,0
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,0,0,0,0,0
RAJASTHAN,BARAN,0,0,0,0,0
RAJASTHAN,BARMER,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,0,0,0,0,0
RAJASTHAN,BHILWARA,0,0,0,0,0
RAJASTHAN,BIKANER,0,0,0,0,0
RAJASTHAN,BUNDI,0,0,0,0,0
RAJASTHAN,CHITTORGARH,0,0,0,0,0
RAJASTHAN,CHURU,0,0,0,0,0
RAJASTHAN,DAUSA,0,0,0,0,0
RAJASTHAN,DHOLPUR,0,0,0,0,0
RAJASTHAN,DUNGARPUR,0,1757,0,0,1757
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,0,0,0,0,0
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,0,0,0,0,0
RAJASTHAN,JHALAWAR,0,0,0,0,0
RAJASTHAN,JHUNJHNU,0,12,0,0,12
RAJASTHAN,JODHPUR,0,0,0,0,0
RAJASTHAN,KOTA,0,0,0,0,0
RAJASTHAN,NAGAUR,0,0,0,0,0
RAJASTHAN,PALI,0,0,0,0,0
RAJASTHAN,RAJSAMAND,0,0,0,0,0
RAJASTHAN,SAWAI-MADHOPUR,0,0,0,0,0
RAJASTHAN,SIKAR,0,0,0,0,0
RAJASTHAN,SIROHI,0,658,0,0,658
RAJASTHAN,TONK,0,0,0,0,0
RAJASTHAN,UDAIPUR,1,61,1,0,63
SIKKIM,EAST SIKKIM,0,0,0,0,0
SIKKIM,NORTH SIKKIM,0,0,0,0,0
SIKKIM,SOUTH SIKKIM,0,0,0,0,0
SIKKIM,WEST SIKKIM,0,0,0,0,0
TAMIL NADU,COIMBATORE,70.95,0,0.82,0,71.77
TAMIL NADU,CUDDALORE,1947.95,3275.18,24.93,604.09,5852.15
TAMIL NADU,DHARMAPURI,261.31,155.49,51.94,9.97,478.71
TAMIL NADU,DINDIGUL,76.13,4185.94,935.39,1364.52,6561.98
TAMIL NADU,ERODE,242.52,92.58,1.58,0,336.68
TAMIL NADU,KANCHIPURAM,1793.67,2213.85,286.35,214.2,4508.07
TAMIL NADU,KANNIYAKUMARI,6262.83,6175.28,1399.66,281.77,14119.54
TAMIL NADU,KARUR,0,0,0,0,0
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,93.79,0,21.65,0,115.44
TAMIL NADU,NAGAPATTINAM,0,0,0,0,0
TAMIL NADU,NAMAKKAL,1590.84,1.79,0,0,1592.63
TAMIL NADU,PERAMBALUR,104.47,1722.72,532.54,0,2359.73
TAMIL NADU,PUDUKOTTAI,776.22,8871.2,0.46,1,9648.88
TAMIL NADU,RAMNATHAPURAM,3411.85,15614.11,2026.84,46.1,21098.9
TAMIL NADU,SALEM,1.59,0,0,0.1,1.69
TAMIL NADU,SIVAGANGA,2066.65,10553.85,209.21,256.05,13085.76
TAMIL NADU,THANJAVUR,62385.76,33929.34,2773.76,428.73,99517.59
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA
TAMIL NADU,THENI,4.17,431.42,291.71,0,727.3
TAMIL NADU,THOOTHUGUDI,846.55,181.15,143.61,0,1171.31
TAMIL NADU,TIRUNELVELI,316.98,309.88,0,4,630.86
TAMIL NADU,TIRUVALLUR,5112.48,1686.22,208.22,69.42,7076.34
TAMIL NADU,TIRUVANNAMALAI,94.53,594.83,45.38,3.17,737.91
TAMIL NADU,TIRUVARUR,11362.92,6032.56,11.3,0,17406.78
TAMIL NADU,TRICHIRAPPALLI,3138.25,4174.92,961.17,31.89,8306.23
TAMIL NADU,VELLORE,116.43,48.92,0,0,165.35
TAMIL NADU,VILLUPURAM,995.81,2861.32,170.55,12,4039.68
TAMIL NADU,VIRUDHUNAGAR,1283.59,1089.09,9.77,173.47,2555.92
TRIPURA,DHALAI,0,0,0,0,0
TRIPURA,NORTH,0,0,0,0,0
TRIPURA,SOUTH,16,24,0,0,40
TRIPURA,WEST,0,0,0,0,0
UTTAR PRADESH,AGRA,0,0,0,0,0
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,0,0,0,0,0
UTTAR PRADESH,ALMORA,0,0,0,0,0
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,0,0,0,0,0
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,0,0,0,0,0
UTTAR PRADESH,BALLIA,5,9,1,0,15
UTTAR PRADESH,BANDA,0,1,0,0,1
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),262,218,0,1,481
UTTAR PRADESH,DEHRADUN,115,72,6,0,193
UTTAR PRADESH,DEORIA,0,0,0,0,0
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,0,0,0,0,0
UTTAR PRADESH,FAIZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,FARUKHABAD,0,0,0,0,0
UTTAR PRADESH,FATEHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,FIROZABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,GHAZIPUR,0,0,0,0,0
UTTAR PRADESH,GONDA,17,205,0,0,222
UTTAR PRADESH,GORAKHPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HAMIRPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDOI,NA,NA,NA,NA,NA
UTTAR PRADESH,HARDWAR,NA,NA,NA,NA,NA
UTTAR PRADESH,JALAUN,6,40,0,60,106
UTTAR PRADESH,JAUNPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,JHANSI,0,0,0,0,0
UTTAR PRADESH,KANPUR DEHAT,0,0,0,0,0
UTTAR PRADESH,KANPUR NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,KHIRI,0,0,0,0,0
UTTAR PRADESH,KUSHI NAGAR,0,0,0,0,0
UTTAR PRADESH,LALITPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,LUCKNOW,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHOBA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAHRAJGANJ,0,0,0,0,0
UTTAR PRADESH,MAINPURI,NA,NA,NA,NA,NA
UTTAR PRADESH,MATHURA,NA,NA,NA,NA,NA
UTTAR PRADESH,MAU,NA,NA,NA,NA,NA
UTTAR PRADESH,MEERUT,NA,NA,NA,NA,NA
UTTAR PRADESH,MIRZAPUR,500,813,28,0,1341
UTTAR PRADESH,MORADABAD,NA,NA,NA,NA,NA
UTTAR PRADESH,MUZAFFER NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,NAINITAL,144,86,2,2,234
UTTAR PRADESH,PAURI GARHWAL,194,146,0,0,340
UTTAR PRADESH,PILIBHIT,NA,NA,NA,NA,NA
UTTAR PRADESH,PITHORAGARH,0,0,0,4,4
UTTAR PRADESH,PRATAPGARH,NA,NA,NA,NA,NA
UTTAR PRADESH,RAEBARELY,NA,NA,NA,NA,NA
UTTAR PRADESH,RAMPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SAHARANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SANT RAVIDAS NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SHAHJAHANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SIDDHARTH NAGAR,NA,NA,NA,NA,NA
UTTAR PRADESH,SITAPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,SONBHADRA,1214,970,123,106,2413
UTTAR PRADESH,SULTANPUR,NA,NA,NA,NA,NA
UTTAR PRADESH,TEHRI GARHWAL,278,197,0,55,530
UTTAR PRADESH,UDHAMSINGH NAGAR,750,590,496,1,1837
UTTAR PRADESH,UNNAO,NA,NA,NA,NA,NA
UTTAR PRADESH,UTTARKASHI,194,70,0,0,264
UTTAR PRADESH,VARANASI,2401,4676,0,10,7087
WEST BENGAL,BANKURA,8541,3185,131,649,12506
WEST BENGAL,BIRBHUM,4096,547,33,151,4827
WEST BENGAL,BURDWAN,2657,330,3,97,3087
WEST BENGAL,COOCHBEHAR,0,0,0,0,0
WEST BENGAL,DAKSHIN DINAJPUR,78,365,42,91,576
WEST BENGAL,DARJEELING,89,21,225,0,335
WEST BENGAL,HOOGLY,9,21,0,0,30
WEST BENGAL,HOWRAH,574,268,6,0,848
WEST BENGAL,JALPAIGURI,881,112,0,205,1198
WEST BENGAL,MALDA,0,0,0,0,0
WEST BENGAL,MIDNAPORE,3464,1937,178,192,5771
WEST BENGAL,MURSHIDABAD,94,38,50,0,182
WEST BENGAL,NADIA,NA,NA,NA,NA,NA
WEST BENGAL,NORTH 24 PARGANAS,0,8,0,0,8
WEST BENGAL,PURULIA,2857,796,49,72,3774
WEST BENGAL,SOUTH 24 PARGANAS,34,509,4,24,571
WEST BENGAL,UTTAR DINAJPUR,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,NA,NA,NA,NA,NA
ANDAMAN & NICOBARS,NICOBARS,NA,NA,NA,NA,NA
CHANDIGARH,,NA,NA,NA,NA,NA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,0,0,0,0,0
DAMAN & DIU,,NA,NA,NA,NA,NA
DELHI,CENTRAL-DELHI,NA,NA,NA,NA,NA
