-----
{
 "description": "The table shows the Overall External Assistance (in US $ Mn.) since 1981-82. It shows the year-wise Authorization and Utilization of Loans and Grants in India.", 
 "file_name": "tab81.xls", 
 "title": "Download XLS for Overall External Assistance (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab81.xls"
}
-----
"8.1 (A): OVERALL EXTERNAL ASSISTANCE","","",""
"","","","(` crore)"
"1987-88",3528.0,368.2,3896.2
"1988-89",3272.1,390.7,3662.8
"1989-90",3086.0,399.2,3485.2
"1990-91",3438.7,297.8,3736.5
"1991-92",4317.9,371.0,4688.9
"1992-93",3301.8,287.5,3589.3
"1993-94",3486.0,283.4,3769.4
"1994-95",3184.8,292.7,3477.5
"1995-96",2987.4,319.1,3306.4
"1996-97",3066.8,305.6,3372.4
"1997-98",2917.4,248.3,3165.7
"1998-99",2936.0,213.0,3149.0
"1999-00",3080.8,248.2,3329.0
"2000-01",2967.2,159.5,3126.7
"2001-02",3306.3,297.1,3603.4
"2002-03",2946.6,386.6,3333.2
"2003-04",3416.3,463.8,3880.1
"2004-05",3359.5,570.7,3930.2
"2005-06",3607.0,625.3,4232.3
"2006-07",3918.03,586.5,4265.46
"2007-08",4280.52,666.25,4946.77
"2008-09",4769.33,555.1,5324.43
"2009-10",6130.5,692.8,6823.3
"2010-11 ",7866.51,624.88,8491.4
"2011-12 ",5671.67,709.47,6381.14
"2012-13 P",3010.02,314.13,3324.15
"Source : Aid Accounts and Audit Division, Department of Economic Affairs, Ministry of Finance.","","",""
"        P : Provisional (Up to 02.01.2013)","","",""
"   Note  : 1. Figures in this table are converted from the preceding Table 8.1(A) based on the respective Rupee-US dollar rate.","","",""
"              2. Totals may not tally due to rounding off.","","",""
