-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells to Average Pumping Hours during peak season. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.11.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.11.csv"
}
-----
"State","District","Average pumping hours (0-4)","Average pumping hours (4-8)","Average pumping hours (8-12)","Average pumping hours (12-16)","Average pumping hours (16-20)","Average pumping hours (20-24)","Total"
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",2,5,4,0,0,0,11
"ASSAM","BONGAIGAON",16,12,0,0,0,0,28
"ASSAM","CACHAR",4,1,0,0,0,0,5
"ASSAM","DARRANG",6,28,0,0,0,0,34
"ASSAM","DHEMAJI",4,11,0,0,0,0,15
"ASSAM","DHUBRI",13,6,0,1,0,0,20
"ASSAM","DIBRUGARH",4,11,0,0,0,0,15
"ASSAM","GOALPARA",10,26,0,0,0,0,36
"ASSAM","GOLAGHAT",14,59,1,0,0,0,74
"ASSAM","HAILAKANDI",0,8,0,0,0,0,8
"ASSAM","JORHAT",28,20,15,0,0,0,63
"ASSAM","KAMRUP",23,26,0,0,0,0,49
"ASSAM","KARBI ANGLONG",1,7,0,0,0,0,8
"ASSAM","KARIMGANJ",1,4,0,0,0,0,5
"ASSAM","KOKRAJHAR",1,5,0,0,0,0,6
"ASSAM","LAKHIMPUR",25,30,0,0,0,0,55
"ASSAM","MARIGAON",0,8,0,0,0,0,8
"ASSAM","NAGAON",3,21,0,0,0,0,24
"ASSAM","NALBARI",36,31,2,0,0,0,69
"ASSAM","NORTH CACHAR HILLS",0,2,0,0,0,0,2
"ASSAM","SIBSAGAR",3,7,0,0,0,0,10
"ASSAM","SONITPUR",5,3,3,0,0,0,11
"ASSAM","TINSUKIA",9,27,0,0,0,0,36
"BIHAR","ARARIA",4,1,10,0,0,0,15
"BIHAR","AURANGABAD",8,32,38,4,1,1,84
"BIHAR","BANKA",1,2,0,0,0,0,3
"BIHAR","BEGUSARAI",15,124,98,12,2,2,253
"BIHAR","BHABUA",5,48,42,21,2,2,120
"BIHAR","BHAGALPUR",12,61,97,1,11,0,182
"BIHAR","BHOJPUR",11,60,118,5,0,0,194
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",45,98,25,1,0,0,169
"BIHAR","CHAMPARAN EAST",106,102,34,36,4,0,282
"BIHAR","CHAMPARAN WEST",16,29,12,0,0,0,57
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",38,113,31,12,0,1,195
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,0,1,0,0,0,1
"BIHAR","GARHWA",0,5,3,2,1,0,11
"BIHAR","GAYA",15,14,6,1,2,0,38
"BIHAR","GIRIDIH",0,0,1,0,0,0,1
"BIHAR","GODDA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",9,51,21,11,4,0,96
"BIHAR","GUMLA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA,NA,NA
"BIHAR","JAMUI",2,3,4,0,0,0,9
"BIHAR","JEHANABAD",48,27,32,0,0,0,107
"BIHAR","KATIHAR",3,24,1,0,2,0,30
"BIHAR","KHAGARIA",43,47,28,4,0,0,122
"BIHAR","KISHANGANJ",7,7,6,0,0,0,20
"BIHAR","KODARMA",10,6,0,0,0,0,16
"BIHAR","LAKHISARAI",4,12,13,0,2,0,31
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",13,6,0,2,0,0,21
"BIHAR","MADHUBANI",180,442,280,60,10,3,975
"BIHAR","MUNGER",1,1,0,0,0,0,2
"BIHAR","MUZAFFARPUR",55,135,103,3,0,0,296
"BIHAR","NALANDA",62,197,67,6,0,0,332
"BIHAR","NAWADA",21,170,23,0,0,0,214
"BIHAR","PAKUR",21,0,0,0,1,0,22
"BIHAR","PALAMU",NA,NA,NA,NA,NA,NA,NA
"BIHAR","PATNA",49,224,111,16,22,12,434
"BIHAR","PURNIA",0,2,5,0,0,0,7
"BIHAR","RANCHI",NA,NA,NA,NA,NA,NA,NA
"BIHAR","ROHTAS",35,45,28,2,0,0,110
"BIHAR","SAHARSA",0,11,4,0,0,0,15
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",69,120,56,9,1,0,255
"BIHAR","SARAN",36,38,56,7,0,0,137
"BIHAR","SHEIKHPURA",6,40,46,2,0,0,94
"BIHAR","SHEOHAR",1,0,1,1,0,0,3
"BIHAR","SINGHBHUM EAST",0,5,0,0,1,0,6
"BIHAR","SINGHBHUM WEST",0,1,0,0,0,0,1
"BIHAR","SITAMARHI",128,782,299,9,2,0,1220
"BIHAR","SIWAN",45,17,20,8,3,0,93
"BIHAR","SUPAUL",13,5,16,1,0,0,35
"BIHAR","VAISHALI",6,71,51,4,0,0,132
"GOA","NORTH GOA",16,2,0,0,0,0,18
"GOA","SOUTH GOA",0,1,0,0,0,0,1
"GUJARAT","",NA,NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",214,1592,454,0,3,0,2263
"HARYANA","BHIWANI",1,24,0,0,0,0,25
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",26,99,5,0,0,0,130
"HARYANA","HISAR",NA,NA,NA,NA,NA,NA,NA
"HARYANA","JIND",19,240,40,1,0,0,300
"HARYANA","KAITHAL",82,673,37,9,15,11,827
"HARYANA","KARNAL",15,778,893,19,1,0,1706
"HARYANA","KURUKSHETRA",14,283,43,0,0,0,340
"HARYANA","MEHANDERGARH",7,93,0,0,0,0,100
"HARYANA","PANCHKULA",12,100,2,0,0,0,114
"HARYANA","PANIPAT",15,178,2,0,0,0,195
"HARYANA","RIWARI",NA,NA,NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA,NA,NA
"HARYANA","SIRSA",16,164,23,7,0,0,210
"HARYANA","SONIPAT",0,4,3,1,3,9,20
"HARYANA","YAMUNA NAGAR",29,144,10,1,0,0,184
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",1,36,6,12,1,0,56
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,2,0,0,0,0,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",0,3,6,1,0,0,10
"HIMACHAL PRADESH","Solan",10,3,0,12,1,0,26
"HIMACHAL PRADESH","Una",2,21,44,25,29,15,136
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",9,0,0,0,0,0,9
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",0,64,0,0,0,0,64
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",0,9,0,0,0,0,9
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",0,15,0,0,0,0,15
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",1789,7107,1415,116,81,34,10542
"KARNATAKA","BANGALORE URBAN",1835,5353,170,16,7,206,7587
"KARNATAKA","BELGAUM",3635,8013,375,54,22,10,12109
"KARNATAKA","BELLARY",3929,4710,1060,251,13,157,10120
"KARNATAKA","BIDAR",1242,1860,520,52,6,66,3746
"KARNATAKA","BIJAPUR",1951,2899,700,76,16,24,5666
"KARNATAKA","CHIKKAMAGALORE",611,807,620,14,0,1,2053
"KARNATAKA","CHITRADURGA",1182,5863,1271,291,354,592,9553
"KARNATAKA","DAKSHINA KANNADA",1005,710,174,19,5,2,1915
"KARNATAKA","DHARWAR",2243,6137,2042,366,125,256,11169
"KARNATAKA","GULBARGA",195,87,23,2,0,0,307
"KARNATAKA","HASSAN",402,792,63,6,3,1,1267
"KARNATAKA","KODAGU",9,14,0,0,0,0,23
"KARNATAKA","KOLAR",7397,11559,3064,392,70,86,22568
"KARNATAKA","MANDYA",1545,1274,409,64,46,15,3353
"KARNATAKA","MYSORE",1191,2862,1371,62,15,11,5512
"KARNATAKA","RAICHUR",1383,2106,966,93,35,86,4669
"KARNATAKA","SHIMOGA",1086,3762,1541,128,28,74,6619
"KARNATAKA","TUMKUR",12615,15011,1986,446,839,497,31394
"KARNATAKA","UTTARA KANNADA",159,219,13,14,2,3,410
"KERALA","ALAPUZHA",52,6,0,0,0,0,58
"KERALA","ERANAKULAM",2,7,3,0,0,0,12
"KERALA","IDUKKI",2,0,0,0,0,0,2
"KERALA","KANNUR",17,0,0,0,0,0,17
"KERALA","KASARAGODE",27,3,0,0,0,0,30
"KERALA","KOLLAM",4,4,0,0,0,0,8
"KERALA","KOTTAYAM",1,5,5,0,0,0,11
"KERALA","KOZHIKODE",1,1,0,0,0,0,2
"KERALA","MALAPPURAM",4,6,3,0,0,0,13
"KERALA","PALAKKAD",8,13,4,3,1,0,29
"KERALA","PATHANAMTHITTA",9,0,0,0,0,0,9
"KERALA","THIRUVANANTHAPURAM",6,0,0,0,0,0,6
"KERALA","THRISSUR",0,1,0,0,0,0,1
"KERALA","WAYANAD",NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BALAGHAT",0,1,0,0,0,0,1
"MADHYA PRADESH","BASTAR",4,0,0,0,0,0,4
"MADHYA PRADESH","BETUL",68,142,19,2,22,1,254
"MADHYA PRADESH","BHIND",121,0,1,0,0,0,122
"MADHYA PRADESH","BHOPAL",NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","BILASPUR",73,229,93,30,41,9,475
"MADHYA PRADESH","CHHATARPUR",7,180,17,10,0,0,214
"MADHYA PRADESH","CHHINDWARA",198,911,759,11,0,2,1881
"MADHYA PRADESH","DAMOH",5,169,13,10,23,0,220
"MADHYA PRADESH","DATIA",NA,NA,NA,NA,NA,NA,NA
"MADHYA PRADESH","DEWAS",18,796,171,41,4,0,1030
"MADHYA PRADESH","DHAR",5,261,175,3,4,0,448
"MADHYA PRADESH","DURG",20,47,39,34,7,0,147
"MADHYA PRADESH","GUNA",462,1,0,0,0,0,463
"MADHYA PRADESH","GWALIOR",47,0,0,0,0,0,47
"MADHYA PRADESH","HOSHANGABAD",9,12,53,9,36,24,143
"MADHYA PRADESH","INDORE",195,8,387,352,43,0,985
"MADHYA PRADESH","JABALPUR",96,9,114,77,215,0,511
"MADHYA PRADESH","JHABUA",0,8,34,11,0,0,53
"MADHYA PRADESH","KHANDWA",28,95,271,150,418,0,962
"MADHYA PRADESH","KHARGONE",22,773,284,77,59,0,1215
"MADHYA PRADESH","MANDLA",0,2,0,0,0,0,2
"MADHYA PRADESH","MANDSAUR",35,220,562,206,142,0,1165
"MADHYA PRADESH","MORENA",288,0,0,0,0,0,288
"MADHYA PRADESH","NARSIMHAPUR",102,476,341,247,268,6,1440
"MADHYA PRADESH","PANNA",10,25,12,11,1,0,59
"MADHYA PRADESH","RAIGARH",238,19,96,33,23,24,433
"MADHYA PRADESH","RAIPUR",33,31,23,52,16,27,182
"MADHYA PRADESH","RAISEN",24,72,9,0,0,0,105
"MADHYA PRADESH","RAJGARH",7,114,13,23,0,0,157
"MADHYA PRADESH","RAJNANDGAON",13,40,9,6,2,0,70
"MADHYA PRADESH","RATLAM",53,323,892,357,201,1,1827
"MADHYA PRADESH","REWA",1,359,117,37,3,0,517
"MADHYA PRADESH","SAGAR",192,0,0,0,0,0,192
"MADHYA PRADESH","SATNA",91,708,718,201,66,11,1795
"MADHYA PRADESH","SEHORE",0,1,4,0,0,0,5
"MADHYA PRADESH","SEONI",283,801,183,0,0,0,1267
"MADHYA PRADESH","SHAHDOL",8,123,38,19,3,1,192
"MADHYA PRADESH","SHAJAPUR",1,146,323,98,0,20,588
"MADHYA PRADESH","SHIVPURI",234,9,0,0,0,0,243
"MADHYA PRADESH","SIDHI",0,15,1,0,9,0,25
"MADHYA PRADESH","SURGUJA",1489,0,55,51,40,0,1635
"MADHYA PRADESH","TIKAMGARH",807,0,0,0,0,0,807
"MADHYA PRADESH","UJJAIN",8,868,842,372,6,2,2098
"MADHYA PRADESH","VIDISHA",0,166,5,0,0,13,184
"MAHARASHTRA","",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","BISHNUPUR",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHANDEL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","CHURACHANDPUR",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","IMPHAL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","SENAPATI",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","TAMENGLONG",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","THOUBAL",NA,NA,NA,NA,NA,NA,NA
"MANIPUR","UKHRUL",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","EAST GARO HILLS",0,1,0,0,0,0,1
"MEGHALAYA","EAST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","JAINTIA HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","RI BHOI DISTRICT",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","SOUTH GARO HILLS",NA,NA,NA,NA,NA,NA,NA
"MEGHALAYA","WEST GARO HILLS",1,4,1,0,0,0,6
"MEGHALAYA","WEST KHASI HILLS",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","AIZAWL",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","CHHIMTUIPUI",NA,NA,NA,NA,NA,NA,NA
"MIZORAM","LUNGLEI",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","KOHIMA",1,2,0,0,0,0,3
"NAGALAND","MOKOKCHUNG",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","MON",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","PHEK",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","TUENSANG",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","WOKHA",NA,NA,NA,NA,NA,NA,NA
"NAGALAND","ZUNHEBOTO",NA,NA,NA,NA,NA,NA,NA
"ORISSA","ANGUL",NA,NA,NA,NA,NA,NA,NA
"ORISSA","BALASORE",288,375,503,200,105,2,1473
"ORISSA","BARAGARH",7,4,5,0,0,0,16
"ORISSA","BHADRAK",54,271,142,8,3,0,478
"ORISSA","BOLANGIR",1,1,0,0,0,0,2
"ORISSA","BOUDH",0,0,1,0,0,0,1
"ORISSA","CUTTACK",9,137,10,2,2,0,160
"ORISSA","DEOGARH",NA,NA,NA,NA,NA,NA,NA
"ORISSA","DHENKANAL",0,0,0,0,1,0,1
"ORISSA","GAJAPATI",1,1,0,0,0,0,2
"ORISSA","GANJAM",3,2,1,0,0,1,7
"ORISSA","JAGATSINGHPUR",36,45,3,0,0,0,84
"ORISSA","JAJPUR",35,293,24,1,0,0,353
"ORISSA","JHARSUGUDA",0,8,3,0,0,0,11
"ORISSA","KALAHANDI",2,1,0,0,0,0,3
"ORISSA","KENDRAPARA",13,16,11,0,0,0,40
"ORISSA","KEONJHAR",1,1,3,0,0,0,5
"ORISSA","KHURDA",5,6,2,0,0,0,13
"ORISSA","KORAPUT",NA,NA,NA,NA,NA,NA,NA
"ORISSA","MALKANGIRI",NA,NA,NA,NA,NA,NA,NA
"ORISSA","MAYURBHANJ",27,107,65,14,15,2,230
"ORISSA","NAYAGARH",0,2,0,0,0,0,2
"ORISSA","NOWRANGPUR",NA,NA,NA,NA,NA,NA,NA
"ORISSA","NUAPADA",1,0,0,0,0,0,1
"ORISSA","PHULBANI",NA,NA,NA,NA,NA,NA,NA
"ORISSA","PURI",9,14,5,0,0,0,28
"ORISSA","RAYAGADA",0,1,0,0,0,0,1
"ORISSA","SAMBALPUR",NA,NA,NA,NA,NA,NA,NA
"ORISSA","SONEPUR",NA,NA,NA,NA,NA,NA,NA
"ORISSA","SUNDARGARH",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","AMRITSAR",0,0,1,0,0,0,1
"PUNJAB","BATHINDA",0,0,9,0,0,0,9
"PUNJAB","FARIDKOT",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","FATEHGARH SAHIB",0,4,25,0,0,0,29
"PUNJAB","FEROZEPUR",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","GURDASPUR",5,8,4,3,8,3,31
"PUNJAB","HOSHIARPUR",33,278,202,44,15,2,574
"PUNJAB","JALANDHAR",NA,NA,NA,NA,NA,NA,NA
"PUNJAB","KAPURTHALA",0,6,9,0,0,0,15
"PUNJAB","LUDHIANA",1,0,1,0,0,0,2
"PUNJAB","MANSA",0,6,9,0,0,0,15
"PUNJAB","PATIALA",9,50,349,1,1,0,410
"PUNJAB","ROPAR",7,15,127,2,11,0,162
"PUNJAB","SANGRUR",39,293,574,122,1,0,1029
"RAJASTHAN","AJMER",0,1,1,0,0,1,3
"RAJASTHAN","ALWAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","BANSWARA",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","BARAN",103,290,100,2,0,3,498
"RAJASTHAN","BARMER",0,5,0,0,0,0,5
"RAJASTHAN","BHARATPUR",164,173,16,1,0,0,354
"RAJASTHAN","BHILWARA",2,2,23,18,4,1,50
"RAJASTHAN","BIKANER",2,14,3,0,0,0,19
"RAJASTHAN","BUNDI",25,46,4,0,0,0,75
"RAJASTHAN","CHITTORGARH",181,555,72,25,6,1,840
"RAJASTHAN","CHURU",2,14,14,4,2,0,36
"RAJASTHAN","DAUSA",0,1,2,0,0,0,3
"RAJASTHAN","DHOLPUR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","DUNGARPUR",5,44,3,0,0,0,52
"RAJASTHAN","GANGANAGAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","HANUMANGARH",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAIPUR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JAISALMER",0,2,0,0,0,0,2
"RAJASTHAN","JALORE",1,66,11,0,0,0,78
"RAJASTHAN","JHALAWAR",6,39,21,1,6,0,73
"RAJASTHAN","JHUNJHNU",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","JODHPUR",379,5552,151,7,5,3,6097
"RAJASTHAN","KOTA",34,293,1,0,0,1,329
"RAJASTHAN","NAGAUR",253,3317,117,3,2,1,3693
"RAJASTHAN","PALI",32,216,10,2,2,18,280
"RAJASTHAN","RAJSAMAND",0,0,1,0,0,12,13
"RAJASTHAN","SAWAI-MADHOPUR",3,22,0,0,0,0,25
"RAJASTHAN","SIKAR",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","SIROHI",NA,NA,NA,NA,NA,NA,NA
"RAJASTHAN","TONK",0,2,3,0,1,0,6
"RAJASTHAN","UDAIPUR",9,4,4,2,0,0,19
"SIKKIM","EAST SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","NORTH SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","SOUTH SIKKIM",NA,NA,NA,NA,NA,NA,NA
"SIKKIM","WEST SIKKIM",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","COIMBATORE",1926,2006,175,27,42,21,4197
"TAMIL NADU","CUDDALORE",616,2321,2184,596,1201,775,7693
"TAMIL NADU","DHARMAPURI",199,155,4,0,0,0,358
"TAMIL NADU","DINDIGUL",13,76,9,0,0,0,98
"TAMIL NADU","ERODE",398,790,283,1,0,1,1473
"TAMIL NADU","KANCHIPURAM",2,0,0,0,0,0,2
"TAMIL NADU","KANNIYAKUMARI",0,3,0,0,0,0,3
"TAMIL NADU","KARUR",108,39,2,0,0,0,149
"TAMIL NADU","MADRAS",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","MADURAI",4,0,0,0,0,0,4
"TAMIL NADU","NAGAPATTINAM",2,8,0,0,0,0,10
"TAMIL NADU","NAMAKKAL",1687,139,180,20,6,19,2051
"TAMIL NADU","PERAMBALUR",296,105,161,11,18,3,594
"TAMIL NADU","PUDUKOTTAI",135,471,291,99,125,27,1148
"TAMIL NADU","RAMNATHAPURAM",23,6,7,20,48,50,154
"TAMIL NADU","SALEM",957,184,57,17,3,1,1219
"TAMIL NADU","SIVAGANGA",22,31,20,3,0,16,92
"TAMIL NADU","THANJAVUR",295,1094,1533,41,44,4,3011
"TAMIL NADU","THE NILGIRIS",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","THENI",266,8,8,1,0,0,283
"TAMIL NADU","THOOTHUGUDI",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUNELVELI",27,5,1,0,0,0,33
"TAMIL NADU","TIRUVALLUR",63,148,46,3,0,2,262
"TAMIL NADU","TIRUVANNAMALAI",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","TIRUVARUR",160,389,202,7,20,0,778
"TAMIL NADU","TRICHIRAPPALLI",3,0,0,0,1,4,8
"TAMIL NADU","VELLORE",NA,NA,NA,NA,NA,NA,NA
"TAMIL NADU","VILLUPURAM",831,3580,3552,1234,38,107,9342
"TAMIL NADU","VIRUDHUNAGAR",4,0,0,0,0,0,4
"TRIPURA","DHALAI",1,1,0,0,0,0,2
"TRIPURA","NORTH",4,5,0,0,0,0,9
"TRIPURA","SOUTH",6,19,11,3,0,0,39
"TRIPURA","WEST",9,62,10,0,0,0,81
"UTTAR PRADESH","AGRA",56,326,146,2,4,0,534
"UTTAR PRADESH","ALIGARH",23,27,9,1,0,0,60
"UTTAR PRADESH","ALLAHABAD",18,238,156,67,21,0,500
"UTTAR PRADESH","ALMORA",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","AMBEDKAR NAGAR",4,29,69,2,0,0,104
"UTTAR PRADESH","AZAMGARH",0,24,15,3,0,0,42
"UTTAR PRADESH","BADAUN",13,325,297,52,9,0,696
"UTTAR PRADESH","BAHRAICH",12,72,161,22,24,0,291
"UTTAR PRADESH","BALLIA",65,180,253,50,15,6,569
"UTTAR PRADESH","BANDA",48,117,16,4,1,0,186
"UTTAR PRADESH","BARABANKI",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BAREILLY",8,245,420,8,10,5,696
"UTTAR PRADESH","BASTI",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","BIJNOR",37,300,38,8,3,1,387
"UTTAR PRADESH","BULANDSHAHR",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA,NA,NA
"UTTAR PRADESH","DEHRADUN",6,23,13,7,19,0,68
"UTTAR PRADESH","DEORIA",24,233,153,35,25,0,470
"UTTAR PRADESH","ETAH",3,14,10,0,0,0,27
"UTTAR PRADESH","ETAWAH",43,129,71,24,14,0,281
"UTTAR PRADESH","FAIZABAD",59,54,93,1,1,0,208
"UTTAR PRADESH","FARUKHABAD",0,17,17,3,0,0,37
