-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblcktab5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to the holding size for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblcktab5.3.csv"
}
-----
"State","District","Block","Marginal (0-1 Ha)","Small (1-2 Ha)","Medium (2-10 Ha)","Big (Greater than 10 Ha)","Total"
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",0,0,0,0,0
"ANDHRA PRADESH","KURNOOL","ADONI",8,25,19,6,58
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",0,0,0,0,0
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",4,20,100,18,142
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",2,3,77,69,151
"ANDHRA PRADESH","KURNOOL","DORNIPADU",0,2,4,5,11
"ANDHRA PRADESH","KURNOOL","GOSPADU",5,20,23,0,48
"ANDHRA PRADESH","KURNOOL","HALAHARVI",4,10,23,6,43
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",2,2,34,13,51
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",5,29,121,62,217
"ANDHRA PRADESH","KURNOOL","KOSIGI",29,13,22,1,65
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",0,7,7,2,16
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",7,13,41,5,66
"ANDHRA PRADESH","KURNOOL","MAHANANDI",0,0,0,0,0
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",10,22,52,10,94
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",7,29,153,13,202
"ANDHRA PRADESH","KURNOOL","NANDYAL",22,31,25,2,80
"ANDHRA PRADESH","KURNOOL","PANYAM",2,13,28,1,44
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",6,26,105,104,241
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",10,27,51,5,93
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",0,0,6,0,6
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",28,59,107,7,201
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",3,15,67,10,95
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",0,1,3,1,5
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",2,0,0,0,2
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",0,0,3,3,6
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",23,50,88,24,185
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",1,3,5,0,9
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",0,0,0,0,0
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",102,91,77,2,272
"ANDHRA PRADESH","MEDAK","ANDOLE",12,11,1,0,24
"ANDHRA PRADESH","MEDAK","PAPANNAPET",16,56,42,1,115
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",25,20,41,4,90
"ANDHRA PRADESH","NALGONDA","ANUMULA",0,0,0,0,0
"ANDHRA PRADESH","NALGONDA","CHILKUR",4,14,67,3,88
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",5,6,6,6,23
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",7,2,0,0,9
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",25,107,65,0,197
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",31,41,118,30,220
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",1,0,0,0,1
"ANDHRA PRADESH","NALGONDA","KODAD",5,52,137,3,197
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",22,41,53,1,117
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",14,43,70,1,128
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",59,62,35,1,157
"ANDHRA PRADESH","NALGONDA","MOTHEY",1,0,0,0,1
"ANDHRA PRADESH","NALGONDA","MUNAGALA",0,0,0,0,0
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",4,56,75,0,135
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",22,27,13,2,64
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",165,71,24,4,264
"ANDHRA PRADESH","NALGONDA","PENPAHAD",1,0,9,5,15
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",11,15,6,0,32
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",0,2,0,1,3
"ANDHRA PRADESH","NELLORE","ALLUR",4,23,32,8,67
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",3,0,9,0,12
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",8,27,7,0,42
"ANDHRA PRADESH","NELLORE","ATMAKUR",11,20,29,4,64
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",37,156,63,6,262
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",2,6,5,4,17
"ANDHRA PRADESH","NELLORE","CHEJERLA",10,20,45,3,78
"ANDHRA PRADESH","NELLORE","CHILLAKUR",55,27,52,4,138
"ANDHRA PRADESH","NELLORE","DAGADARTHI",0,0,0,1,1
"ANDHRA PRADESH","NELLORE","DAKKILI",99,66,38,1,204
"ANDHRA PRADESH","NELLORE","DUTTALUR",1,17,14,4,36
"ANDHRA PRADESH","NELLORE","GUDUR",0,0,5,1,6
"ANDHRA PRADESH","NELLORE","KALIGIRI",0,0,0,1,1
"ANDHRA PRADESH","NELLORE","KALUVOYA",2,16,36,0,54
"ANDHRA PRADESH","NELLORE","KAVALI",2,11,15,5,33
"ANDHRA PRADESH","NELLORE","KODAVALUR",17,15,14,0,46
"ANDHRA PRADESH","NELLORE","KONDAPURAM",22,4,17,1,44
"ANDHRA PRADESH","NELLORE","KOTA",6,2,6,0,14
"ANDHRA PRADESH","NELLORE","MANUBOLU",0,0,4,0,4
"ANDHRA PRADESH","NELLORE","MARRIPADU",9,37,49,3,98
"ANDHRA PRADESH","NELLORE","NELLORE",33,67,56,5,161
"ANDHRA PRADESH","NELLORE","PODALAKUR",30,113,162,0,305
"ANDHRA PRADESH","NELLORE","RAPUR",2,28,1,0,31
"ANDHRA PRADESH","NELLORE","SANGAM",0,21,61,15,97
"ANDHRA PRADESH","NELLORE","SULLURPETA",16,37,1,0,54
"ANDHRA PRADESH","NELLORE","SYDAPURAM",49,44,23,0,116
"ANDHRA PRADESH","NELLORE","TADA",10,71,59,4,144
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",1,2,0,1,4
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",0,14,29,2,45
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",85,64,16,0,165
"ANDHRA PRADESH","NELLORE","VIDAVULUR",5,17,24,0,46
"ANDHRA PRADESH","NELLORE","VINJAMUR",6,14,19,1,40
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",40,44,63,2,149
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",22,28,36,1,87
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",3,5,23,1,32
"ANDHRA PRADESH","NIZAMABAD","BODHAN",4,17,20,1,42
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",2,4,8,3,17
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",9,14,44,0,67
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",4,39,80,3,126
"ANDHRA PRADESH","NIZAMABAD","MORTAD",36,32,43,0,111
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",60,41,37,1,139
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",84,89,53,4,230
"ANDHRA PRADESH","NIZAMABAD","PITLAM",49,60,46,2,157
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",65,56,40,2,163
"ANDHRA PRADESH","PRAKASAM","ADDANKI",1,29,21,3,54
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",0,1,11,0,12
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",1,19,65,0,85
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",0,0,1,0,1
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",0,0,0,1,1
"ANDHRA PRADESH","PRAKASAM","CHIRALA",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",0,0,0,9,9
"ANDHRA PRADESH","PRAKASAM","INKOLLU",4,1,2,0,7
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",1,4,4,0,9
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",0,0,2,3,5
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",0,1,0,0,1
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",0,4,7,5,16
"ANDHRA PRADESH","PRAKASAM","KONDAPI",1,1,13,12,27
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",2,14,10,1,27
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",0,0,1,3,4
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",5,11,23,59,98
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","MARTUR",14,0,1,0,15
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",1,8,10,4,23
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",0,7,2,1,10
"ANDHRA PRADESH","PRAKASAM","ONGOLE",6,0,3,0,9
"ANDHRA PRADESH","PRAKASAM","PAMUR",1,3,32,2,38
"ANDHRA PRADESH","PRAKASAM","PARCHUR",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",6,61,7,1,75
"ANDHRA PRADESH","PRAKASAM","PODILI",1,4,5,4,14
"ANDHRA PRADESH","PRAKASAM","PONNALUR",0,0,1,11,12
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",9,16,8,4,37
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",0,0,7,17,24
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",0,3,7,21,31
"ANDHRA PRADESH","PRAKASAM","THALLUR",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM",0,0,2,2,4
"ANDHRA PRADESH","PRAKASAM","ULAVAPADU",56,64,5,0,125
"ANDHRA PRADESH","PRAKASAM","VETA PALEM",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","VOLETIVARI PALEM",0,0,0,0,0
"ANDHRA PRADESH","PRAKASAM","YADDANA PUDI",17,3,42,0,62
"ANDHRA PRADESH","PRAKASAM","ZARUGUMALLI",0,1,6,10,17
"ANDHRA PRADESH","RANGA REDDY","BASHEERABAD",0,0,0,0,0
"ANDHRA PRADESH","RANGA REDDY","DHARUR",0,0,0,0,0
"ANDHRA PRADESH","RANGA REDDY","GHATKESAR",10,16,75,3,104
"ANDHRA PRADESH","RANGA REDDY","HAYATHNAGAR",58,44,60,3,165
"ANDHRA PRADESH","RANGA REDDY","RAJENDRANAGAR",22,2,1,0,25
"ANDHRA PRADESH","RANGA REDDY","UPPAL",88,29,36,2,155
"ANDHRA PRADESH","SRIKAKULUM","BHAMINI",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","ETCHERLA",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","GARA",4,3,9,1,17
"ANDHRA PRADESH","SRIKAKULUM","KOTTURU",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","MANDASA",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","PALAKONDA",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","SARAVAKOTA",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM","SEETHAMPETA",3,0,0,0,3
"ANDHRA PRADESH","SRIKAKULUM","SOMPETA",3,0,0,0,3
"ANDHRA PRADESH","SRIKAKULUM","VANGARA",1,0,0,0,1
"ANDHRA PRADESH","VIJAYA NAGARAM","BOBBILI",0,4,6,0,10
"ANDHRA PRADESH","VIJAYA NAGARAM","DENKADA",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","GAJAPATHINAGARAM",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","GARIVIDI",0,0,0,2,2
"ANDHRA PRADESH","VIJAYA NAGARAM","GUMMALAKSHMIPURAM",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","KURUPAM",0,0,0,0,0
